機關名稱,開放時間,地址,電話,分機,手機
臺北市松山運動中心,週一至週日 06:00~22:00,臺北市松山區敦化北路1號,(02)66176789,215,
臺北市立圖書館中崙分館,"1.週二至週六 08:30~21:00
2.週日、週一 09:00~17:00",臺北市松山區長安東路2段229號,(02)87736858,,
臺北大眾捷運股份有限公司-南京復興站,週一至週日 06:00~22:00,臺北市松山區南京東路3段253號,(02)25505600,5182,
臺北市松山親子館,"1.週二至週五 09:30~12:00；14:00~17:00
2.週六、週日 09:30~11:00；13:00~14:30；15:30~17:00",臺北市松山區民生東路5段163-1號,(02)27661266,108,
兄弟大飯店,週一至週日 09:00-21:00,臺北市松山區南京東路3段255號,(02)27123456,,
CITYLINK-松山貳號店(潤泰百益股份有限公司),週一至週日 11:00-22:00,臺北市松山區市民大道6段131號,(02)25281115,,
臺北市政府警察局保安警察大隊,24小時開放,臺北市松山區延壽街339號,(02)27629228,,
臺北市松山南港婦女支持培力中心,"週二至週六 9:00~18:00
週三13:00~21:00",臺北市松山區南京東路5段5號,(02)27685256,,
臺北市藝文推廣處,週二至週日09:00~17:00,臺北市松山區八德路3段25號,(02)25775931,351,
臺北市藝文推廣處-城市舞台,節目演出時間開放,臺北市松山區八德路3段25號,(02)25775931,2104,
三軍總醫院松山分院附設民眾診療服務處,周一至周五08:00~21:30,臺北市松山區健康路131號,(02)27642151,672715,
交通部民用航空局臺北國際航空站,週一至週日 05:30~22:30,臺北市松山區敦化北路340號,(02)87703424,,
交通部民用航空局臺北國際航空站,週一至週日 05:30~22:30,臺北市松山區敦化北路340號,(02)87703424,,
交通部民用航空局臺北國際航空站,週一至週日 05:30~22:30,臺北市松山區敦化北路340號,(02)87703424,,
交通部民用航空局臺北國際航空站,週一至週日 05:30~22:30,臺北市松山區敦化北路340號,(02)87703424,,
交通部民用航空局臺北國際航空站,週一至週日 05:30~22:30,臺北市松山區敦化北路340號,(02)87703424,,
交通部民用航空局臺北國際航空站,週一至週日 05:30~22:30,臺北市松山區敦化北路340號,(02)87703424,,
交通部民用航空局臺北國際航空站,週一至週日 05:30~22:30,臺北市松山區敦化北路340號,(02)87703424,,
交通部民用航空局臺北國際航空站,週一至週日05:30~22:30,臺北市松山區敦化北路340號,(02)87703424,,
交通部民用航空局臺北國際航空站,週一至週日05:30~22:30,臺北市松山區敦化北路340號,(02)87703424,,
臺北市政府(第一哺集乳室)(公管處),"週一至週五
8:30-17:30",臺北市信義區市府路1號,(02)27208889,8640,
臺北市政府(第二哺集乳室)(公管處),"週一至週五
8:30-17:30",臺北市信義區市府路1號,(02)27208889,8640,
臺北市議會,"週一至週五
8:00-17:00",臺北市信義區仁愛路4段507號,(02)27297708,4202,
臺北市信義區健康服務中心,"週一至週五
8:30-17:30",臺北市信義區福德街86號,(02)27234598,6171,
臺北市信義區公所,"週一至週五
8:30-17:30",臺北市信義區福德街86號,(02)27239777,706,
臺北市信義區公所,"週一至週五
8:30-17:30",臺北市信義區福德街86號,(02)27239777,707,
臺北市信義區戶政事務所,"週一至週五
8:30-17:30",臺北市信義區福德街86號,(02)27233977,303,
臺北市松山地政事務所,"週一至週五
8:30-17:00",臺北市信義區莊敬路2號,(02)27230711,405.406,
臺北市動物保護處,"週一至週五
8:00-17:00",臺北市信義區吳興街109號,(02)87897158,7155,
臺北市政府警察局婦幼警察隊,"週一至週五
8:00-17:00",臺北市信義區信義路5段108號,(02)27592398,1607,
中國青年救國團臺北市信義運動中心,"週一至週五
8:00-17:00",臺北市信義區松勤街100號,(02)87861911,238,
行政院公共工程委員會,"週一至週五
8:00-17:00",臺北市信義區松仁路3號,(02)87897771,,
國軍退除役官兵輔導委員會,"週一至週五
8:00-17:00",臺北市信義區忠孝東路5段222號,(02)27571373,785,
內政部警政署刑事警察局,"週一至週五
8:00-17:00",臺北市信義區忠孝東路4段5號,"(02)23219011
",7254574,
臺北世界貿易中心展覽大樓(世貿一館),"週一至週五
8:00-17:00",臺北市信義區信義路5段5號,(02)27255200,2668,
臺北世界貿易中心展覽大樓(世貿一館),"週一至週五
8:00-17:00",臺北市信義區信義路5段5號,(02)27255200,2268,
臺北市立聯合醫院松德院區,"週一至週日
全日24小時開放",臺北市信義區松德路309號,(02)27263141,1139,0912462588
交通部臺灣鐵路管理局松山車站,"週一至週日
全日24小時開放",臺北市信義區松山路11號,(02)27666323,8303,0922499928
交通部臺灣鐵路管理局松山車站,"週一至週日
全日24小時開放",臺北市信義區松山路11號,(02)27666323,8303,
新光三越百貨股份有限公司信義二館,"週一至週五
11:00-21:30
週六、週日
11:00-22:00",臺北市信義區松高路12號,(02)87809966,6409、6410,0917546867
新光三越百貨股份有限公司信義分公司A11館,"週一至週五
11:00-21:30
週六、週日
11:00-22:00",臺北市信義區松壽路11號,(02)87801000,2309,
臺北市政府警察局信義分局,"週一至週五
8:00-17:00",臺北市信義區信義路5段17號,(02)27234887,,
統一開發股份有限公司,"週一至週日
06:00-23:00",臺北市信義區忠孝東路5段6號,(02)27221166,6003,
新光三越百貨股份有限公司信義三館,"週一至週五
11:00-21:30
週六、週日
11:00-22:00",臺北市信義區松壽路9號,(02)87801000,7309,
台北金融大樓股份有限公司,"週一至週五
11:00-21:30
週六、日
11:00-22:00",臺北市信義區市府路45號,"81019060
",,0912462588
台北金融大樓股份有限公司,"週一至週五
11:00-21:30
週六、日
11:00-22:00",臺北市信義區市府路45號,"81019060
",,0912462588
寶麗廣場BELLAVITA,"週一至週五
10:30-22:00
週六、日
10:30-22:30",臺北市信義區松仁路28號,"(02)87292802
",,0922499928
統一百華股份有限公司台北分公司,"週日至週四
11:00~21:30
週五至週六
11:00~22:00",臺北市信義區忠孝東路5段8號,(02)27299699,2331,0970221208
遠百企業股份有限公司忠孝店,"週一至週日
11:00-22:00",臺北市信義區忠孝東路5段297號,(02)25289388,107、187,0979240674
松山文創園區,"週一至週日
11:00-22:00",臺北市信義區光復南路133號,(02)27651388,112,0910564325
臺北市立信義幼兒園,"週一至週五
8:00-17:00",臺北市信義區基隆路1段24號,(02)27584138,17,
臺北市立圖書館永春分館,"週一至週五
8:00-17:00",臺北市信義區松山路294號,(02)27609730,,
臺北市立圖書館三興分館,"週一至週五
8:00-17:00",臺北市信義區吳興街6號,(02)87321063,,0978722122
 臺北市立圖書館六合分館 ,"週一至週日
11:00-22:00",臺北市信義區松仁路19號,(02)27292485,,
 吸引力生活事業股份有限公司 ,"週日至週四
11:00-22:00
週五、六
11:00-23:00",臺北市信義區松壽路12號,(02)77375888,5207,0913353659
 吸引力生活事業股份有限公司 ,"週日至週四
11:00-22:00
週五、六
11:00-23:00",臺北市信義區松壽路12號,(02)77375888,5207,0933462614
威秀影城股份有限公司,"週一至週日
10:00-22:00",臺北市信義區松壽路20號,(02)87805566,323,920531792
微風置地股份有限公司-微風松高,"週日至週三
11:00-21:30
週四至週六
11:00-22:00",臺北市信義區松高路16號,(02)66369959,3528,937496774
誠品生活松菸店,"週一至週日
11:00-22:00",臺北市信義區菸廠路88號,(02)66365888,2781,958793697
國立國父紀念館,"週一至週日
8:00-20:00",臺北市信義區仁愛路4段505號,(02)27588008,561,
信義區親子館,"週一至週五
8:00-17:00",臺北市信義區松勤街50號,(02)27202555,109,0960118771
中華民國對外貿易發展協會台北世貿中心展會營運處(台北國際會議中心),"週一至週五
8:00-17:00",臺北市信義區信義路5段1號,"(02)27255200
",3543,0978722122
時代國際飯店股份有限公司,"週一至週日
全日24小時開放",臺北市信義區信義路5段10號,(02)77038901,,
微風置地股份有限公司-信義店,"週日至週三
11:00-21:30
週四至週六
11:00-22:00",臺北市信義區忠孝東路5段68號,"(02)66366699
",3528,0913353659
新光三越百貨股份有限公司台北信義分公司四館,"週一至週五
11:00-21:30
週六、週日
11:00-22:00",臺北市信義區松高路19號,"(02)87895599
",8510,0933462614
潤泰百益股份有限公司(Citylink松山店),"週一至週日
11:00-22:00",臺北市信義區松山路11號,"(02)27471000
",305,0920531792
微風置地股份有限公司-南山分公司,"週日至週三
11:00-21:30
週四至週六
11:00-22:00",臺北市信義區松智路17號,"(02)66389999
",3528,0937496774
豐隆大飯店股份有限公司(台北君悅酒店),"週一至週日
全日24小時開放",臺北市信義區松壽路2號,"(02)27201200
                ",3050,0958793697
寒舍國際酒店股份有限公司(寒舍艾麗酒店),"週一至週日
全日24小時開放",臺北市信義區松高路18號,(02)66318000,5803,
寒舍餐旅管理顧問股份有限公司-信義分公司(台北寒舍艾美酒店),"週一至週日
全日24小時開放",臺北市信義區松仁路38號,"(02)66225768
",,0960118771
遠東百貨股份有限公司,"週一至週五
11:00-21:30
週六、週日
11:00-22:00",臺北市信義區松仁路58號,"(02)77500888
",8332,
聯合醫院廣慈信義門診部,"週一至週五
8:30-16:30",臺北市信義區大道路116號,(02)87804152,,
臺北市立浩然敬老院,"週一至週五
8:30-17:00",臺北市信義區大道路116號,(02)28581081,320,
臺北市立圖書館廣慈分館,"週二至週六
8:30-21:00
週日至週一
9:00-17:00",臺北市信義區福德街86號,(02)27277872,,
臺北市立圖書館總館,"1.週日、週一09:00-17:00
2.週二至週六08:30-21:00",臺北市大安區建國南路2段125號,"(02)27552823
","2130
(週二至周六)18:00以後撥分機2104、2105",
臺北市政府客家事務委員會,"週一至週五08:00~21:30 
週六至週日08:00-17:30",臺北市大安區信義路段3段11號,(02)27(02)6141,320,
行政院人事行政總處公務人力發展學院,週一至週日08:30~17:30,臺北市大安區新生南路3段30號,(02)77122323,2323,
臺北市立聯合醫院仁愛院區,"1.週一至週五08:00-17:30
2.週六08:00-12:30",臺北市大安區仁愛路4段10號,(02)27093600,3233,
臺北大眾捷運股份有限公司-忠孝復興站,週一至週日06:00-24:00,臺北市大安區忠孝東路4段47號,(02)25505600,6102,
太平洋崇光百貨股份有限公司忠孝館,週一至週日11:00-21:30,臺北市大安區忠孝東路4段45號,(02)27765555,1652、1653,
臺北市大安運動中心,週一至週日06:00~22:00,臺北市大安區辛亥路3段55號,(02)23770300,405,
明曜百貨股份有限公司,"1.週日至週四11:00-21:30
2.週五、週六11:00-22:00
(國定假日前一天11:00-22:00)",臺北市大安區忠孝東路4段200號,(02)27771266,315,
臺灣電力公司台北市區營業處,週一至週五08:00-17:00,臺北市大安區基隆路4段75號,(02)23788111,5832,
臺北市大安區公所,週一至週五08:30-17:30,臺北市大安區新生南路2段86號,(02)23511711,9207,
臺北市立大安幼兒園,週一至週五08:00-16:30,臺北市大安區四維路11號,(02)27551211,15,
臺北市大安區健康服務中心,週一至週五08:00-17:30,臺北市大安區辛亥路3段15號,(02)27335831,6253,
中華民國交通部觀光署,週一至週五08:00-17:30,臺北市大安區忠孝東路4段290號,(02)23491500,8652,
臺北市政府警察局大安分局,每日24小時開放,臺北市大安區仁愛路3段2號,(02)23255821,,
臺灣銀行信義分行,週一至週五09:00-15:30,臺北市大安區信義路2段88號,(02)23515486,255,
臺北大眾捷運股份有限公司-忠孝新生站,週一至週日06:00-24:00,臺北市大安區新生南路1段67號,(02)21812345,,
遠企購物中心,"週日至週四11:00~21:30
週五至週六11:00~22:00",臺北市大安區忠孝東路3段300號,(02)23786666,6666,
臺灣銀行信安分行,週一至週五09:00-17:00,臺北市大安區敦化南路2段203號,(02)27057905,302,
財政部臺北市國稅局大安分局,週一至週五08:30-17:30,臺北市大安區信義路3段132號,(02)23587979,319,
臺北市立圖書館龍安民眾閱覽室,"週日至週一09:00~17:00
週二至周六08:30-21:00
(每月第一個週四閉館不開放)",臺北市大安區新生南路2段86號,(02)23945485,,
臺北市立圖書館道藩分館,"1.週日至週一09:00-17:00
2.週二至週六08:30-21:00",臺北市大安區辛亥路3段11號,(02)27334031,9,
國家教育研究院臺北院區,週一至週五08:00-17:00,臺北市大安區和平東路1段179號,(02)77407628,,
土地銀行和平分行,週一至週五09:00-15:30,臺北市大安區和平東路3段15號,(02)27057505,303,
太平洋崇光百貨股份有限公司敦化館,"週日至週四11:00~21:30
週五至週六11:00~22:00
國定假日前1天11:00-22:00",臺北市大安區敦化南路1段246號,(02)27765555,2867,
建南區民活動中心,週一至週五08:00-17:00,臺北市大安區信義路3段82號,(02)23511711,8205,
臺北市辛亥非營利幼兒園,週一至週五08:30-18:30,臺北市大安區辛亥路3段11號,(02)27322374,,
臺北市正義非營利幼兒園,週一至週五07:30-18:30,臺北市大安區忠孝東路3段41號,(02)27726656,,
臺北大眾捷運股份有限公司-東門站,週一至週日06:00-24:00,臺北市大安區信義路2段166號,(02)21812345,,
臺北大眾捷運股份有限公司-大安站,週一至週日06:00-24:00,臺北市大安區信義路3段180號,(02)21812345,,
鼎鼎大飯店股份有限公司台北遠東國際大飯店,週一至週日09:00-17:00,臺北市大安區敦化南路2段201號,"(02)23788888
",,
臺北福華大飯店,週一至週日06:30-22:00,臺北市大安區仁愛路3段160號,(02)27002323,2025,
臺北和平籃球館(東),活動期間或覽館租借期間,臺北市大安區敦南街28號,(02)66170101,1600,
臺北和平籃球館(北),活動期間或覽館租借期間,臺北市大安區敦南街28號,(02)66170101,1600,
國聯觀光大飯店,週一至週日07:30-22:00,臺北市大安區光復南路200號,(02)27331515,103,
福容大飯店台北一館,週一至週日07:00-21:00,臺北市大安區建國南路1段266號,(02)27019266,31,
臺灣當代文化實驗場,"週二至週日09:00-18:00
(星期一休館)",臺北市大安區建國南路1段177號,(02)87735087,224、225,
新光三越百貨股份有限公司台北忠孝分公司,"週日至周四11:00-21:30
週五至週六11:00-22:00",臺北市大安區忠孝東路3段268號,(02)27216688,6090,
經濟部產業發展署,週一至周五09:00-17:00,臺北市大安區信義路3段41之3號,(02)27541255,3115,
臺北市懷愛館,週一至週日07:00-22:00,臺北市大安區辛亥路3段330號,(02)87329686,29751,
臺北市懷愛館,週一至週日07:00-22:00,臺北市大安區辛亥路330號,(02)87329686,29751,
太平洋崇光百貨股份有限公司復興分公司,"週日至週四11:00-21:30
週五至週六11:00-22:00",臺北市大安區忠孝東路3段300號,(02)27765555,3324,
臺北市中山地政事務所,週一至週五 08:30~17:30,臺北市中山區松江路1號,(02)25022881,403,
臺北市立美術館,"週二至周日 9:30~15:30 
周六9:30~20:30",臺北市中山區中山北路3段181號,(02)25957656,515,
臺北市政府警察局中山分局,全日24小時開放,臺北市中山區中山北路2段1號,(02)25362459,,
臺灣菸酒股份有限公司台北啤酒工場  ,全日24小時開放,臺北市中山區八德路2段85號,(02)27719131,430、341,
臺北市立聯合醫院 林森中醫院區,全日24小時開放,臺北市中山區林森北路530號,(02)25916681,1320,
臺北市立育航幼稚園,週一至週五 07:30~18:30,臺北市中山區長春路256號,(02)25178372,213,
新光三越百貨股份有限公司臺北南西分公司,"週日至週四 11:00~21:30
週五、週六及例假日前一天 11:00~22:00",臺北市中山區南京西路12號,(02)25682868,3617、3508,
美麗華城市發展股份有限公司,週一至週日      11:00-22:00,臺北市中山區敬業三路20號,(02)21753456,2231,
財團法人台灣敦睦聯誼會所屬作業組織圓山大飯店,全日24小時開放,臺北市中山區中山北路4段1號,(02)28861818,1610,
教育部體育署,週一至週五 08:30~17:30,臺北市中山區朱崙街20號,(02)87711904,,
中國青年救國團臺北市中山運動中心,週一至週日 06:00~22:00,臺北市中山區中山北路2段2號,(02)25811060,221,
潤泰創新國際股份有限公司中崙分公司,週一至週日  08:30~23:00,臺北市中山區八德路2段306號,(02)27790006,501,
臺北市立中山幼兒園,週一至周五 07:30~18:30,臺北市中山區大直街25號,(02)25336738,,
臺北市立圖書館大直分館,"週二至週六 08:30~21:00
週日至週一 09:00~17:00",臺北市中山區大直街25號25號,(02)25336535,,
臺北市立圖書館恆安閱覽室,"週二至週六 08:30~21:00
週日、週一 09:00~17:00",臺北市中山區民權東路1段19號,(02)25935482,,
臺北市立圖書館中山分館,"週二至週六 08:30~21:00
週日、週一 09:00~17:00",臺北市中山區松江路367號,(02)25026442,,
全越運動事業股份有限公司(臺北市政府體育局委外),週二至周日 9:00~17:00,臺北市中山區建國北路3段39號,(02)25172371,,0977168368
中山老人住宅暨服務中心,週一至週日  09:00~17:00,臺北市中山區新生北路2段2號,(02)25420006,338,0921968923
花博公園天使生活館,週二至週日 09:00~17:00,臺北市中山區濱江街6號,(02)25857228,105,
林安泰古厝民俗文物館,週二至週日 09:00~17:00,臺北市中山區濱江街5號,(02)25996026,,
臺北市國稅局松山分局,週一至週五 08:30~17:30,臺北市中山區南京東路3段131號,(02)27183606,108,
臺北市立圖書館長安分館,"週二至週六 08:30~21:00
週日至週一 09:00~17:00",臺北市中山區長安西路3號,(02)25625540,,
中山公民會館,"週二至週六 09:00~21:00
週日 09:00~17:00
中午12:00~14:00不對外開放",臺北市中山區中山北路2段128號,(02)25314169,,
新光三越百貨股份有限公司台北南西分公司三館,"週一至週日
11：00~22：00",臺北市中山區南京西路15號,"(02)25682868
",3075,0977168368
臺北漁產運銷股份有限公司,週一至週五 08:30~17:30,臺北市中山區民族東路20號,"(02)25099490 
",,0921968923
臺北農產運銷股份有限公司,週一至週五 08:00~17:00(全時段開放),臺北市中山區民族東路336號,(02)25162519,5816,
臺北大眾捷運股份有限公司(松江南京站),"週一至週日
09：00~17：00",臺北市中山區松江路126號,(02)21812345,,
國稅局中北中南稽徵所,週一至週五 08:30~17:30,臺北市中山區松江路219號,(02)25024181,5103,
誠品生活股份有限公司(南西店),"週一至週日
11：00~22：00",臺北市中山區南京西路14號,(02)25813358,,
老爺大酒店,全日24小時開放,臺北市中山區中山北路2段37之1號,(02)25423299,359,
晶華酒店,全日24小時開放,臺北市中山區中山北路2段3號,(02)2521500,3328,
美麗信花園酒店,全日24小時開放,臺北市中山區市民大道3段83號,(02)77025136,,
亞都麗緻大飯店,全日24小時開放,臺北市中山區民權東路2段41號,(02)77352353,,
欣欣百貨,"週一至週日
11：00~22：00",臺北市中山區林森北路247號,(02)25212211,188、190,
歐華酒店,全日24小時開放,臺北市中山區林森北路646號,(02)25853258,,
國王大飯店,全日24小時開放,臺北市中山區南京東路1段118號,(02)25811111,2208,
第一大飯店,全日24小時開放,臺北市中山區南京東路2段63號,(02)25418234,110,
台北美福大飯店,全日24小時開放,臺北市中山區樂群二路  55號,(02)77325599,1663,
義華酒店,全日24小時開放,臺北市中山區樂群二路  197號,(02)21757999,1701,
台北萬豪酒店,全日24小時開放,臺北市中山區樂群二路  199號,(02)21757999,1701,
花博公園圓山園區(爭艷館)_臺北市休閒農業旅遊服務中心(財團法人臺北市會展產業發展基金會委外),週二至週日 09:00~17:00,臺北市中山區玉門街1號,(02)25969214,,
JR東日本大飯店台北,全日24小時開放,臺北市中山區南京東路3段133號,(02)77500900,,
立法院,"僅提供洽公民眾
週一~週五8:30~18:00",臺北市中正區中山南路1號,(02)23585732,,
內政部,週一~週五8:00~18:00,臺北市中正區徐州路5號,(02)23565143,,
交通部,週一~週五8:30~18:00,臺北市中正區仁愛路1段50號,(02)23492527,,
內政部移民署-臺北市服務站,週一~週五8:00~17:00,臺北市中正區廣州街15號,(02)23889393,3104,
臺灣高等法院(民事庭貴陽街),週一~週五9:00~17:00,臺北市中正區貴陽街1段233號,(02)23713261,8579,
臺灣高等法院(刑事庭博愛路),週一~週五9:00~17:00,臺北市中正區博愛路127號,(02)23713261,8579,
中央健康保險署臺北業務組,"依門診時間開放
週一~週五8:30~17:00",臺北市中正區公園路15之1號,(02)23486597,,
國家圖書館,"週二~週六8:00~22:00
每個月第一個禮拜一及國定假日不開放
週一.週日8:00~17:00",臺北市中正區中山南路20號,(02)23619132,158,
國立歷史博物館,週二~週日10:00~18:00,臺北市中正區南海路49號,(02)23610270,506,
國立中正紀念堂管理處,每日09:00~18:00,臺北市中正區中山南路21號,(02)23431100,1072,
臺北市政府警察局,每日24小時,臺北市中正區延平南路96號,(02)23818002,,
臺北市政府警察局中正第二分局,每日24小時,臺北市中正區南海路35號,(02)23751981,,
臺北市交通事件裁決所,週一~週五8:30~17:00,臺北市中正區羅斯福路4段92號,(02)23658270,613,
臺北市稅捐稽徵處,週一~週五8:30~17:30,臺北市中正區北平東路7之2號,(02)23949211,426,
臺北市家庭暴力暨性侵害防治中心,週一~週五8:00~18:00,臺北市中正區延平南路123號,(02)23615295,6903,
臺北市立聯合醫院和平婦幼院區(和平院區2樓),週一~週五08:30~17:00,臺北市中正區中華路2段33號,(02)23889595,2142,
"臺北市立聯合醫院和平婦幼院區
(婦幼院區1樓兒科門診)","週一~週六08:00~17:00
",臺北市中正區福州街12號,(02)23916471,1222,
"臺北市立聯合醫院和平婦幼院區
(婦幼院區健檢處旁)","週一~週六08:00~17:00
",臺北市中正區福州街12號,(02)23916471,1222,
國立臺灣大學醫學院附設醫院(西址院區婦產科門診),週一~週五8:00~17:00,臺北市中正區中山南路8號,(02)23123456,262503,0937395211
國立臺灣大學醫學院附設醫院(兒童醫療大樓兒科2樓),"週一~週五8:00~17:00
週六8:00~12:00",臺北市中正區中山南路8號,(02)23123456,70302,
國立臺灣大學醫學院附設醫院(兒童醫療大樓兒科3樓),"週一~週五8:00~17:00
週六8:00~12:00",臺北市中正區中山南路8號,(02)23123456,70302,
國立臺灣大學醫學院附設醫院(兒童醫療大樓兒科4樓),"週一~週五8:00~16:30
",臺北市中正區中山南路8號,(02)23123456,70302,
三軍總醫院附設民眾診療服務處汀州院區,"週一~週五8:00~20:00
週六8:00~12:00",臺北市中正區汀州路3段40號,(02)87923311,12702,
臺灣銀行股份有限公司,週一~週五9:00~17:00,臺北市中正區重慶南路1段120號,(02)23494375,,
台北自來水事業處西區營業分處,週一~週五08:30~17:30,臺北市中正區牯嶺街38號, (02)33431651,,
交通部臺灣鐵路管理局台北運務段臺北站,每日06:00~24:00,臺北市中正區北平西路3號,(02)23815226,2812,
台灣高速鐵路股份有限公司台北車站,每日06:00~24:00,臺北市中正區北平西路3號,(02)40663000,,0937395211
臺北大眾捷運股份有限公司(臺北車站),每日06:00~24:00,臺北市中正區忠孝西路1段49號,(02)25363001,8683,
新光三越百貨股份有限公司台北站前分公司,"週一~週四、週日11:00~21:45
週五~週六11:00~21:45",臺北市中正區忠孝西路1段66號,(02)23885552,5810,
天成飯店股份有限公司,每日07:00~22:00,臺北市中正區忠孝西路1段43號,(02)23617856,3221,
台灣電力股份有限公司,週一~週五8:00~17:00,臺北市中正區羅斯福路3段242號,(02)23666393,,
臺灣文創發展股份有限公司(華山1914文創園區),週一~週日09:30~20:30,臺北市中正區八德路1段1號,(02)23581914,581、200、201,
臺北大眾捷運股份有限公司(西門站),每日06:00~24:00,臺北市中正區寶慶路32之1號,(02)25363001,8683,
微風場站開發股份有限公司,每日10:00~22:00,臺北市中正區北平西路3號,(02)66328999,5500,
國立臺灣大學醫學院附設醫院(東址南棟1樓),每日24小時,臺北市中正區中山南路8號,(02)23123456,262411,
喜來登飯店,每日10:00-22:00,臺北市中正區忠孝東路1段12號,(02)23215858,8106,
臺北市立圖書館王貫英先生紀念圖書館,"週二~周六8:30~21:00
週日、周一9:00~17:00",臺北市中正區汀州路2段265號,(02)23678734,,
財團法人台北市客家文化基金會           (臺北市客家文化主題公園),"每周一休館
週二~周日9:00~18:00",臺北市中正區汀州路3段2號,(02)23691198,334,
臺灣土地銀行營業部,"週一~週五
9:00~15:30(對外)
9:00~19:00(對內)",臺北市中正區館前路46號,(02)23483618,,
中華郵政股份有限公司臺北北門郵局,週一~週五8:30~21:00   週六9:00~12:00   ,臺北市中正區博愛路1號,(02)23114331,7200,
臺北大眾捷運股份有限公司(中正紀念堂站),每日06:00~24:50,臺北市中正區羅斯福路1段8之1號,(02)25363001,8683,
臺北大眾捷運股份有限公司(古亭站),每日07:00~22:00,臺北市中正區羅斯福路2段164號,(02)25363001,8683,
臺北自來水園區,"夏日週二~週日9:00~18:00                
非夏日週二~週日9:00~17:00",臺北市中正區思源街1號,(02)83695091,5217,
臺北市中正運動中心,每日06:00~20:00,臺北市中正區信義路1段1號,(02)23963358,618,
臺北市立圖書館(城中分館),"週二~周六8:30~21:00
週日、周一9:00~17:00
每月第一個星期四及國定假日休館",臺北市中正區濟南路2段46號,(02)23938274,9,
臺灣臺北地方法院,週一~週五8:30~17:30,臺北市中正區博愛路131號,(02)23146871,6616,
臺灣臺北地方法院檢察署(對外),週一~週五8:30~17:30,臺北市中正區博愛路131號,(02)23146871,6616,
郵政博物館,週二~週日9:00~17:00,臺北市中正區重慶南路2段45號,(02)23945185,815,
臺北市中山堂管理所,"每日09:30~21:00
休館日由單位公告為主",臺北市中正區延平南路98號,(02)23813137,229,
臺北市站前地下街場地利用合作社,"週一到週五11:30~18:30
週六、週日11:30~19:00",臺北市中正區忠孝西路1段50之1號,(02)23751567,21,
臺北市台北地下街場地利用合作社1,每日11:00~22:00,臺北市中正區市民大道1段100號,(02)25594566,504,
臺北市台北地下街場地利用合作社2,每日11:00~22:00,臺北市中正區市民大道1段100號,(02)25594566,504,
立法院中興大樓(研究會館),"僅提供洽公民眾
週一~週五8:30~18:00",臺北市中正區濟南路1段3之1號,(02)23585732,,
國家表演藝術中心國家兩院廳(國家音樂廳),每日12:00~20:00,臺北市中正區中山南路21之1號,(02)33939842,,
交通部臺灣鐵路管理局台北運務段臺北站,每日06:00~24:00,臺北市中正區北平西路3號,(02)23815226,2812,
水源劇場,演出時才開放觀眾使用,臺北市中正區羅斯福路4段92號,(02)23625221,113,
