編號,經度,緯度,廠商名稱_市招,經營主體,電話,分機,地址
50,121.5282,25.0775,台北市美僑協會,台北市美僑協會,(02)28858260,83,臺北市中山區北安路47號
51,121.5415,25.0777,北安國中,太格股份有限公司,(02)25333888,,臺北市中山區明水路325號
52,121.5613,25.0782,濱江國小,采堤運動休閒管理顧問有限公司,(02)85023217,,臺北市中山區樂群2路266巷99號之1
53,121.5352,25.1159,臺北市立大學天母校區,臺北市立大學,(02)28718288,,臺北市士林區忠誠路2段101號
54,121.5250,25.1047,天母聯誼會游泳池,嘉德開發股份有限公司,(02)28339696,,臺北市士林區中山北路6段88號B2
55,121.5312,25.1197,World Gym健身俱樂部〈天母店〉,香港商世界健身事業有限公司天母分公司,(02)28755050,,臺北市士林區中山北路7段34號1樓
56,121.5299,25.0984,福林國小,溥鑫有限公司,(02)28317739,,臺北市士林區福志路75號
57,121.5204,25.1177,國立臺北護理健康大學北護水療中心,國立臺北護理健康大學,(02)28229499,,臺北市北投區明德路365號（台北護理學院內 ）
58,121.5046,25.1172,台北市中華基督教青年會〈唭理岸會館〉,財團法人台北市中華基督教青年會,(02)28227070,,臺北市北投區承德路7段312號1樓
59,121.4992,25.1077,洲美運動公園游泳池〈北投垃圾焚化廠〉,鴻翔體育事業有限公司,(02)28340998,,臺北市北投區洲美街271號
60,121.5098,25.1164,北投運動中心,建中工程股份有限公司,(02)28202880,,臺北市北投區石牌路1段39巷100號
61,121.4839,25.1356,臺北捷運公司北投會館游泳池,臺北大眾捷運股份有限公司,(02)28930105,8320,臺北市北投區大業路527巷88號
62,121.4668,25.1268,關渡國小,舞動陽光有限公司,(02)28975205,,臺北市北投區中央北路4段581號
63,121.5213,25.0896,士林運動中心,財團法人台北市中華基督教青年會,(02)28806066,,臺北市士林區士商路1號
64,121.5070,25.0837,葫蘆國民小學,正日中體育事業股份有限公司,(02)28129586,,臺北市士林區環河北路3段95號
65,121.5186,25.0487,統一健身俱樂部台北京站館,統一佳佳股份有限公司,(02)25588148,,臺北市大同區市民大道1段209號8樓-9樓
66,121.5074,25.0498,玉泉公園游泳池,運博國際有限公司,(02)25506316,,臺北市大同區西寧北路28號
67,121.5675,25.0015,萬芳游泳池,京元鼎育樂股份有限公司,(02)22306295,,臺北市文山區萬和街2號
68,121.5765,24.9904,萬興國小,凱格運動事業股份有限公司,(02)29381721,,臺北市文山區秀明路2段114號
69,121.5604,24.9868,木柵公園游泳池,京元鼎育樂股份有限公司,(02)29362029,,臺北市文山區興隆路4段50號木柵公園內
70,121.5331,25.0123,諾德城堡戶外戲水區,建中工程股份有限公司,(02)23677556,,臺北市中正區汀洲路3段160巷底
71,121.5331,25.0123,諾德城堡,建中工程股份有限公司,(02)23677556,,臺北市中正區汀洲路3段160巷底
72,121.5820,25.0490,南港運動中心,社團法人中國青年救國團,(02)26532279,,臺北市南港區玉成街69號
73,121.5878,25.0448,成德國中,舞動陽光有限公司,(02)27825000,,臺北市南港區東新街108巷23號
74,121.5854,25.0418,玉成公園游泳池,京元鼎育樂股份有限公司,(02)27271075,,臺北市南港區中坡南路55號
75,121.5228,25.1075,克強公園游泳池,運博國際有限公司,(02)28323901,,臺北市士林區礦溪街55巷2號
76,121.5209,25.0852,前港公園游泳池,運博國際有限公司,(02)28819838,,臺北市士林區前港街45號
77,121.5308,25.1288,天溪公園游泳池,運博國際有限公司,(02)28713794,,臺北市北投區中山北路7段219巷3弄170號
78,121.5485,25.1516,前山游泳池,運博國際有限公司,(02)0937982098,,臺北市北投區建國路4號
79,121.4998,25.1353,七虎公園游泳池,運博國際有限公司,(02)28229499,,臺北市北投區育仁路108號
80,121.4734,25.1367,國立臺北藝術大學室內溫水游泳館,波菲美有限公司,(02)28938766,,臺北市北投區學園路1號
81,121.5865,25.0814,碧湖公園游泳池,桑斯伯國際有限公司,(02)0980407312,,臺北市內湖區內湖路2段175號
82,121.5264,25.0789,圓山聯誼會游泳池,台北圓山聯誼會,(02)28861818,1716,臺北市中山區中山北路4段1號
83,121.5497,25.0508,汐游寶寶,汐游寶寶有限公司,(02)25778555,,臺北市松山區南京東路4段2號地下1樓
84,121.5134,25.1196,國立陽明大學游泳池,燕筑休閒事業股份有限公司,(02)28206000,,臺北市北投區立農街2段155號
