核准編號,行政區,里別,臺北市核准地點,團體名稱,電話,經度,緯度
119,大安區,義安,敦化南路2段63巷21弄24號斜對面,社團法人台北生命勵樂活輔健會,(02)27299347,121.579848,25.040378
120,大安區,義安,安和路2段44巷9號斜對面,社團法人台北生命勵樂活輔健會,(02)27299347,121.550157,25.031716
121,士林區,蘭雅,士東路120巷20弄15號斜對面,台北市康復之友協會,(02)27652810,121.5518,25.031353
122,士林區,忠誠,忠誠路1段40號,台北市康復之友協會,(02)27652810,121.5265405,25.10475042
123,士林區,福順,葫東街26號旁,台北市康復之友協會,(02)27652810,121.5110272,25.08364317
124,士林區,福順,重慶北路4段49巷18-1號旁,台北市康復之友協會,(02)27652810,121.5122505,25.08114099
125,南港區,鴻福,玉成街190巷口的玉成公園,台北市康復之友協會,(02)27652810,121.5850052,25.04370882
126,南港區,聯成,忠孝東路6段250巷16號對面的聯成公園旁,台北市康復之友協會,(02)27652810,121.5884213,25.04838253
127,南港區,百福,福德街309巷口(251巷7弄40號對面),台北市康復之友協會,(02)27652810,121.5880759,25.03833786
128,南港區,百福,成福路178巷口的玉成公園,台北市康復之友協會,(02)27652810,121.5874002,25.04189586
129,南港區,聯成,東新街77巷4弄2號對面人行道,台北市康復之友協會,(02)27652810,121.5883151,25.04730885
130,中正區,頂東,羅斯福路3段84巷口,台北市康復之友協會,(02)27652810,121.5264371,25.02193767
131,中正區,永昌,中華路2段與南海路口,台北市康復之友協會,(02)27652810,121.5074181,25.02702997
132,中正區,龍福,重慶南路2段43號天橋樓梯下方,台北市康復之友協會,(02)27652810,121.5149578,25.03187591
133,中正區,永昌,寧波西街181巷與紹安街口的永昌公園,台北市康復之友協會,(02)27652810,121.5095034,25.02627049
134,中正區,三愛,新生南路1段146巷口的連雲公園,台北市康復之友協會,(02)27652810,121.5315258,25.03505251
135,中正區,三愛,臨沂街75巷8號對面的信愛公園,台北市康復之友協會,(02)27652810,121.5288158,25.03486956
136,萬華區,糖篰,大理街156巷口,台北市康復之友協會,(02)27652810,121.4950186,25.03403174
137,萬華區,和平,艋舺大道西園路2段140巷口,台北市康復之友協會,(02)27652810,121.4947987,25.03154358
138,萬華區,和德,西園路2段320巷55弄與寶興街口,台北市康復之友協會,(02)27652810,121.4917957,25.02848881
139,松山區,莊敬,撫遠街400巷96號對面,台北市康復之友協會,(02)27652810,121.5654395,25.06609547
140,萬華區,柳鄉,和平西路3段309巷9號對面,台北市康復之友協會,(02)27652810,121.4933535,25.03601065
142,大同區,南芳,涼州街與延平北路2段路口(平樂天橋下),台北市康復之友協會,(02)27652810,121.5113996,25.06104461
143,大同區,光能,承德路2段109巷36號旁,台北市康復之友協會,(02)27652810,121.519373,25.05667935
144,大同區,光能,赤峰街與南京西路口,台北市康復之友協會,(02)27652810,121.5190279,25.05310196
145,信義區,大道,林口街210號對面春光公園人行道,台北市康復之友協會,(02)27652810,121.5808427,25.04150928
146,松山區,安平,寶清街77號對面寶清公園旁的人行道,台北市康復之友協會,(02)27652810,121.5681948,25.0523086
148,松山區,莊敬,撫遠街380巷16號對面公佈欄旁,台北市康復之友協會,(02)27652810,121.5647029,25.06437078
149,松山區,莊敬,撫遠街389巷27號對面的撫遠公園,台北市康復之友協會,(02)27652810,121.5668943,25.06508967
150,松山區,新聚,八德路4段389巷口,台北市康復之友協會,(02)27652810,121.5686541,25.04938903
151,大安區,義安,敦化南路2段63巷33號變電箱旁,台北市康復之友協會,(02)27652810,121.5507023,25.0309315
152,大安區,群賢,和平東路3段1巷25號對面的群賢公園,台北市康復之友協會,(02)27652810,121.5470118,25.02587673
153,大安區,群英,復興南路2段151巷30弄口,台北市康復之友協會,(02)27652810,121.5452872,25.02820492
154,內湖區,紫星,成功路4段61巷9弄口,台北市康復之友協會,(02)27652810,121.5922532,25.08114854
155,內湖區,瑞陽,文德路66巷36弄1號旁,台北市康復之友協會,(02)27652810,121.5821391,25.07615058
156,文山區,博嘉,木柵路4段6號對面變電箱旁,台北市康復之友協會,(02)27652810,121.5720315,24.99552551
157,文山區,試院,木柵路1段89巷底試院公園旁,台北市康復之友協會,(02)27652810,121.5471139,24.98803888
158,文山區,景慶,景福街251巷2號對面,台北市康復之友協會,(02)27652810,121.539701,24.99385371
159,文山區,興邦,興隆路2段203巷14號對面,台北市康復之友協會,(02)27652810,121.5487312,25.00184994
160,文山區,興安,仙岩路22巷2號對面,台北市康復之友協會,(02)27652810,121.5487716,24.99888371
161,士林區,天祿,士東路47號旁(忠義幼稚園),台北市盲人福利協進會,(02)25585000,121.52772,25.11201
162,萬華區,和德,西園路2段320巷36弄14-1號前,台北市盲人福利協進會,(02)25585000,121.49113,25.02711
163,大安區,芳和,和平東路3段與嘉興街口,台北市盲人福利協進會,(02)25585000,121.55392,25.022298
164,松山區,中崙,八德路2段346巷5弄25號正面對公園花圃內,台北市盲人福利協進會,(02)25585000,121.545561,25.04704
165,中正區,南門,博愛路216號旁(廣州街2號街前),台北市盲人福利協進會,(02)25585000,121.51051,25.03448
166,內湖區,麗山,內湖路1段629巷40弄2號對面,台北市盲人福利協進會,(02)25585000,121.575002,25.081707
167,內湖區,港華,港華街31號對面,台北市盲人福利協進會,(02)25585000,121.576417,25.082594
168,內湖區,港富,內湖路2段81號對面空地,台北市盲人福利協進會,(02)25585000,121.5826942,25.0799504
169,內湖區,西康,內湖路1段47巷口臨文湖街11巷,台北市盲人福利協進會,(02)25585000,121.559395,25.085915
170,內湖區,西康,文湖街21巷口停車場對面,台北市盲人福利協進會,(02)25585000,121.560625,25.086416
171,內湖區,紫陽,文德路210巷30弄1號附近,台北市盲人福利協進會,(02)25585000,121.583747,25.077169
172,文山區,萬和,汀州路4段146號對面公園邊,台北市盲人福利協進會,(02)25585000,121.535846,25.004913
173,萬華區,華江,環河南路2段250巷25弄22號旁,台北市盲人福利協進會,(02)25585000,121.48985,25.03368
174,文山區,萬隆,羅斯福路5段218巷口內電線桿後,台北市盲人福利協進會,(02)25585000,121.536754,25.002135
175,文山區,萬年,羅斯福路5段176巷40號,台北市盲人福利協進會,(02)25585000,121.5366105,25.0043167
176,松山區,東榮,民生東路5段27巷6號對面,台北市盲人福利協進會,(02)25585000,121.556685,25.059536
177,松山區,介壽,光復北路165巷口(公園側),台北市盲人福利協進會,(02)25585000,121.557129,25.057292
178,信義區,三張,莊敬路423巷底空地人行道,台北市盲人福利協進會,(02)25585000,121.567065,25.028619
179,南港區,三重,三重路32巷口,台北市盲人福利協進會,(02)25585000,121.614029,25.056162
180,南港區,新光,昆陽街140巷42弄18號對面,台北市盲人福利協進會,(02)25585000,121.592922,25.048998
181,南港區,成福,東新街108巷10號對面,台北市盲人福利協進會,(02)25585000,121.587902,25.045818
182,萬華區,日祥,青年路152巷57號旁,台北市盲人福利協進會,(02)25585000,121.501005,25.019831
183,萬華區,柳鄉,環河南路2段100巷柳鄉公園,台北市盲人福利協進會,(02)25585000,121.495297,25.037298
184,萬華區,日善,民和街18號對面,台北市盲人福利協進會,(02)25585000,121.49983,25.0262
185,萬華區,忠貞,青年路68巷口,台北市盲人福利協進會,(02)25585000,121.50263,25.02354
186,大安區,芳和,臥龍街131巷13弄1號,台北市盲人福利協進會,(02)25585000,121.55157,25.01944
187,大安區,義村,仁愛路3段123巷9弄口公告欄旁,台北市盲人福利協進會,(02)25585000,121.542032,25.039118
188,士林區,福林,中正路213巷口（鄰近永和豆漿店）側邊牆面,台北市盲人福利協進會,(02)25585000,121.5265204,25.09536454
189,大安區,義村,忠孝東路3段248巷13弄頭,台北市盲人福利協進會,(02)25585000,121.541553,25.040664
190,萬華區,華江,環河南路2段250巷15號邊,台北市盲人福利協進會,(02)25585000,121.490971,25.033575
191,萬華區,華江,環河南路2段278號對面,台北市盲人福利協進會,(02)25585000,121.491467,25.032318
192,文山區,木新,木新路2段161巷12弄10號對面電桿旁,台北市盲人福利協進會,(02)25585000,121.56874,24.98318
193,萬華區,全德,萬大路322巷55弄1號對面,台北市盲人福利協進會,(02)25585000,121.51879,25.06942
195,大同區,至聖,承德路3段191巷口,台北市盲人福利協進會,(02)25585000,121.51937,25.30744
196,大同區,重慶,承德路3段292號旁邊,台北市盲人福利協進會,(02)25585000,121.5194166,25.07406158
197,士林區,福林,中正路235巷57號對面,台北市盲人福利協進會,(02)25585000,121.5264341,25.09392918
198,士林區,福林,中山北路5段505巷口,台北市盲人福利協進會,(02)25585000,121.5276477,25.09356275
199,大同區,至聖,重慶北路3段243巷8號,台北市盲人福利協進會,(02)25585000,121.5143952,25.07121489
200,大同區,重慶,承德路3段301巷對面,台北市盲人福利協進會,(02)25585000,121.520501,25.075824
201,文山區,樟林,忠順街1段41巷口,台北市視障生活品質福利促進會,(02)25587370,24.9843621,121.5586287
202,南港區,鴻福,成福路83號對面,台北市視障生活品質福利促進會,(02)25587370,25.04356978,121.5869312
203,士林區,前港,前港街38號對面公園內,台北市視障生活品質福利促進會,(02)25587370,121.5212914,25.08524287
204,文山區,指南,指南路3段53號對面電箱旁,台北市視障生活品質福利促進會,(02)25587370,121.5048443,121.5797024
205,文山區,木柵,木柵路3段郵局對面48巷郵局對面,台北市視障生活品質福利促進會,(02)25587370,121.5126231,121.5653523
206,北投區,關渡,知行路210巷40號對面大樹旁,台北市視障生活品質福利促進會,(02)25587370,121.5194408,121.4684582
207,士林區,社新,社子街尾與延平北路6段口,台北市視障生活品質福利促進會,(02)25587370,121.5048443,25.08927233
208,士林區,老師,迪化街2段348號旁,台北市視障生活品質福利促進會,(02)25587370,121.5048443,25.07264312
209,士林區,百齡,前港街88號對面公園旁,台北市視障生活品質福利促進會,(02)25587370,121.5194408,25.08541104
210,士林區,忠誠,德行東路74巷口電信箱旁,台北市視障生活品質福利促進會,(02)25587370,121.5273669,25.10716998
211,大同區,國順,民族西路277號對面,台北市視障生活品質福利促進會,(02)25587370,25.06953411,121.510606
212,大同區,忠誠,南京西路18巷6弄口,台北市視障生活品質福利促進會,(02)25587370,25.10925894,121.5325753
213,士林區,富光,葫蘆街110號對面電箱旁,台北市視障生活品質福利促進會,(02)25587370,121.5078626,25.08262533
214,士林區,富光,葫蘆街140對面電杆旁,台北市視障生活品質福利促進會,(02)25587370,121.5084715,25.08385573
215,大同區,社新,延平北路3段61-5號旁(7-11),台北市視障生活品質福利促進會,(02)25587370,25.08762124,25.08385573
216,南港區,中研,研究院路2段78號業面公車站牌旁,台北市視障生活品質福利促進會,(02)25587370,25.04549181,121.6153948
217,士林區,社新,社子街124號對面,台北市視障生活品質福利促進會,(02)25587370,121.505337,25.08805386
218,大同區,永倫,南京西路64巷14-4號,台北市視障生活品質福利促進會,(02)25587370,25.09181415,121.5050491
219,士林區,名山,雨聲街65巷口對面活動中心前,台北市視障生活品質福利促進會,(02)25587370,121.5286509,25.10348671
220,內湖區,寶湖,民權東路6段163巷電信箱旁,台北市視障生活品質福利促進會,(02)25587370,25.06858837,121.5958013
221,士林區,蘭興,磺溪街94巷右邊電線桿旁,台北市視障生活品質福利促進會,(02)25587370,121.5234364,25.1088053
222,大同區,隆和,延平北路3段40號(萊爾富)旁,台北市視障生活品質福利促進會,(02)25587370,25.06462621,121.5109727
223,大同區,隆和,伊寧街39號對面電箱旁,台北市視障生活品質福利促進會,(02)25587370,25.06462221,121.5121578
224,大同區,朝陽,南京西路167巷24號旁,台北市視障生活品質福利促進會,(02)25587370,25.05597142,121.5125069
225,大同區,建泰,承街路1段41巷口,台北市視障生活品質福利促進會,(02)25587370,25.05128836,121.5172826
226,大同區,朝陽,南京西路344巷8-9號旁,台北市視障生活品質福利促進會,(02)25587370,25.05322413,121.5121442
227,中正區,板溪,同安街18號對面,台北市視障生活品質福利促進會,(02)25587370,25.02523056,121.522386
228,大安區,龍泉,師大路71號前,台北市視障生活品質福利促進會,(02)25587370,25.0237102,121.528592
229,大安區,龍泉,泰順街40巷8號斜對面反光鏡右方,台北市視障生活品質福利促進會,(02)25587370,25.02415593,121.5310718
230,士林區,德行,福華街164巷16號旁,台北市視障生活品質福利促進會,(02)25587370,121.5226085,25.10434366
231,士林區,德行,福國路15巷口,台北市視障生活品質福利促進會,(02)25587370,121.5247546,25.10191679
232,士林區,德行,福國路56巷12-2號旁,台北市視障生活品質福利促進會,(02)25587370,121.5234349,25.10311651
233,中山區,中山,長春路71巷口右側,台北市視障生活品質福利促進會,(02)25587370,25.05504304,121.526685
234,中山區,中山,中山北路2段65巷13號旁,台北市視障生活品質福利促進會,(02)25587370,25.05722593,121.5240284
235,中山區,中山,新生北路2段68巷口,台北市視障生活品質福利促進會,(02)25587370,25.05663667,121.5264063
236,中山區,中吉,松江路170巷9號與長春路137巷12號對面公園（電氣設備旁）,台北市心理復健家屬聯合協會,(02)23660399,121.531932,25.056062
237,中山區,興亞,吉林路22巷23號轉角處,台北市心理復健家屬聯合協會,(02)23660399,121.528852,25.051038
238,松山區,三民,民生東路5段163之1號銀行前方(行道樹旁),台北市心理復健家屬聯合協會,(02)23660399,121.563139,25.059374
239,中山區,興亞,松江路38巷(長安東路2段36巷15號右側巷口),台北市心理復健家屬聯合協會,(02)23660399,121.531432,25.047575
240,中山區,興亞,吉林路與松江路90號交叉口人行道(靠近行道樹旁),台北市心理復健家屬聯合協會,(02)23660399,121.530182,25.050491
241,大同區,鄰江,民族西路303巷55號對面,台北市心理復健家屬聯合協會,(02)23660399,121.510522,25.07017
242,中山區,永安,北安路588巷34號對面,台北市心理復健家屬聯合協會,(02)23660399,121.550851,25.081115
243,中山區,晴光,新生北路3段56巷1號（里公布欄旁）,台北市心理復健家屬聯合協會,(02)23660399,121.527476,25.065407
244,松山區,東榮,富錦街與光復北路口（行道樹旁）,台北市心理復健家屬聯合協會,(02)23660399,121.554904,25.060464
245,中山區,成功,北安路630巷口(麥當勞後第二根電線桿旁),台北市心理復健家屬聯合協會,(02)23660399,121.549298,25.082802
246,松山區,富錦,民生東路5段177巷口(行道樹旁),台北市心理復健家屬聯合協會,(02)23660399,121.565206,25.059137
247,大安區,龍坡,泰順街與溫州街18巷15-1號對面（公布欄旁）,台北市心理復健家屬聯合協會,(02)23660399,121.531608,25.024821
248,中山區,中吉,吉林路123巷口,台北市心理復健家屬聯合協會,(02)23660399,121.530248,25.057259
249,大安區,龍泉,和平東路1段與龍泉街口（燈桿旁）,台北市心理復健家屬聯合協會,(02)23660399,121.529225,25.026449
250,中山區,中吉,松江路124巷與吉林路47號巷口,台北市心理復健家屬聯合協會,(02)23660399,121.530271,25.052588
251,松山區,安平,寶清街123號旁(電氣設備旁),台北市心理復健家屬聯合協會,(02)23660399,121.567484,25.054225
252,松山區,新益,新東街38號旁公園（行道樹與電氣設備中間）,台北市心理復健家屬聯合協會,(02)23660399,121.565612,25.060654
253,中山區,力行,龍江路61號對面（號誌控制器旁）,台北市心理復健家屬聯合協會,(02)23660399,121.540339,25.050191
