序號,行政區域代碼,設置項目,設置點類別,機構代碼,設置地點,電話,分機,地址,服務時間,備註
36,63000120,衛教諮詢站,醫事機構,0116AD0002,北投國軍醫院,(02)28959808,238602,臺北市北投區新民路60號,08：00~17：00,
37,63000120,針具回收桶,醫事機構,0116CD0008,國軍北投醫院(女廁),(02)23703739,1649,臺北市北投區新民路60號,00：00~23：59,
38,63000120,針具回收桶,醫事機構,0116CD0009,國軍北投醫院(男廁3),(02)23703739,1649,臺北市北投區新民路60號,00：00~23：59,
39,63000120,針具回收桶,醫事機構,0116CD0010,國軍北投醫院(男廁1),(02)23703739,1649,臺北市北投區新民路60號,00：00~23：59,
40,63000120,針具回收桶,醫事機構,0116CD0011,國軍北投醫院(男廁2),(02)23703739,1649,臺北市北投區新民路60號,00：00~23：59,
41,63000020,衛教諮詢站,藥局,0117AB0016,華泰藥局,(02)27601992,,臺北市信義區虎林街82巷5號,09：00~22：00,
42,63000020,衛教諮詢站,藥局,0117AB0017,柏愛藥局,(02)27325472,,臺北市信義區基隆路二段131之9號,"W1~5：09：00~13：00、13：30~17：30、18：00~22：00
W6：09：00~13：00、13：30~17：30
W7：休息",
43,63000020,針具自動服務機,藥局,0117BB0006,吳興藥局,(02)29181518,,臺北市信義區吳興街279號,00：00~23：59,
44,63000020,針具回收桶,藥局,0117CB0004,吳興藥局,(02)23703739,1649,臺北市信義區吳興街279號,00：00~23：59,
45,63000050,衛教諮詢站,藥局,0118AB0017,上海聯合藥局,(02)23714797,,臺北市中正區衡陽路32號,09：00~21：00,
46,63000050,衛教諮詢站,藥局,0118AB0018,中心藥局,(02)23689889,,臺北市中正區汀州路三段121號,09：00~22：00,
47,63000050,衛教諮詢站,藥局,0118AB0019,東華藥局,(02)23640852,,臺北市中正區汀州路三段113號,09：00~22：00,
48,63000050,衛教諮詢站,藥局,0118AB0020,吉星藥局,(02)23117779,,臺北市中正區襄陽路19號,09：00~20：00,
49,63000050,衛教諮詢站,藥局,0118AB0021,71恩典藥局,(02)23223371,,臺北市中正區信義路二段71號,"W1~5：10：00~13：00、14：00~20：00
W6：10：00~13：00、14：00~18：00
W7：休息",
50,63000050,針具自動服務機,藥局,0118BB0007,吉星藥局,(02)29181518,,臺北市中正區襄陽路19號,00：00~23：59,
51,63000050,針具自動服務機,醫事機構,0118BD0004,臺北市立聯合醫院(和平院區),(02)29181518,,臺北市中正區中華路二段33號,00：00~23：59,
52,63000050,針具回收桶,藥局,0118CB0005,吉星藥局,(02)23703739,1649,臺北市中正區襄陽路19號(228公園對面),00：00~23：59,
53,63000050,針具回收桶,醫事機構,0118CD0012,臺北市立聯合醫院(和平院區),(02)23703739,1649,臺北市中正區中華路二段33號(在急診室門口旁）,00：00~23：59,
54,63000050,針具回收桶,公園/市場/公廁,0118CG0001,中央藝文公園,(02)23703739,1649,臺北市中正區北平東路30號前,00：00~23：59,
55,63000070,衛教諮詢站,藥局,0119AB0020,聯慶大藥局,(02)23039850,,臺北市萬華區萬大路306號,"W1~5：08：30~12：00、15：00~21：30
W6：08：30~12：00
W7：休息",
56,63000070,衛教諮詢站,藥局,0119AB0021,裕和藥局,(02)23063219,,臺北市萬華區萬大路117號,09：00~12：00、15：30~21：30,
57,63000070,衛教諮詢站,藥局,0119AB0022,民鈺藥局,(02)23028466,,臺北市萬華區環河南路二段139號,09：00~22：30,
58,63000070,衛教諮詢站,藥局,0119AB0023,啟仁藥局,(02)23362771,,臺北市萬華區環河南路二段177號,09：00~13：00、15：30~22：30,
59,63000070,衛教諮詢站,藥局,0119AB0024,皇祥藥局,(02)23375676,,臺北市萬華區萬青街165號,09：00~22：00,
60,63000070,衛教諮詢站,藥局,0119AB0025,世欣藥局,(02)23074263,,臺北市萬華區東園街173號,09：00~21：30,
61,63000070,衛教諮詢站,醫事機構,0119AD0003,昆明院區,(02)23703739,1633,臺北市萬華區昆明街100號4樓,08：00~17：00,
62,63000070,針具自動服務機,藥局,0119BB0008,裕和藥局,(02)29181518,,臺北市萬華區萬大路117號,00：00~23：59,
63,63000070,針具自動服務機,藥局,0119BB0009,啟仁藥局,(02)29181518,,臺北市萬華區環河南路二段177號,00：00~23：59,
64,63000070,針具自動服務機,醫事機構,0119BD0005,臺北市立聯合醫院(昆明院區)後門1,(02)29181518,,臺北市萬華區昆明街100號,00：00~23：59,
65,63000070,針具自動服務機,醫事機構,0119BD0006,臺北市立聯合醫院(昆明院區)1樓,(02)29181518,,臺北市萬華區昆明街100號,00：00~23：59,
66,63000070,針具自動服務機,醫事機構,0119BD0007,臺北市立聯合醫院(昆明院區)後門2,(02)29181518,,臺北市萬華區昆明街100號,00：00~23：59,
67,63000070,針具自動服務機,醫事機構,0119BD0008,臺北市立聯合醫院(昆明院區)後門3,(02)29181518,,臺北市萬華區昆明街100號,00：00~23：59,
68,63000070,針具回收桶,藥局,0119CB0006,裕和藥局,(02)23703739,1649,臺北市萬華區萬大路117號,00：00~23：59,
69,63000070,針具回收桶,藥局,0119CB0007,啟仁藥局,(02)23703739,1649,臺北市萬華區環河南路二段177號,00：00~23：59,
70,63000070,針具回收桶,醫事機構,0119CD0013,昆明院區1樓美沙冬出入口,(02)23703739,1649,臺北市萬華區昆明街100號,00：00~23：59,
71,63000070,針具回收桶,醫事機構,0119CD0014,昆明院區2樓(男廁1),(02)23703739,1649,臺北市萬華區昆明街100號,00：00~23：59,
72,63000070,針具回收桶,醫事機構,0119CD0015,昆明院區2樓(男廁2),(02)23703739,1649,臺北市萬華區昆明街100號,00：00~23：59,
73,63000070,針具回收桶,醫事機構,0119CD0018,昆明院區2樓後梯,(02)23703739,1649,臺北市萬華區昆明街100號,00：00~23：59,
74,63000070,針具回收桶,醫事機構,0119CD0019,昆明院區3樓後梯,(02)23703739,1649,臺北市萬華區昆明街100號,00：00~23：59,
75,63000070,針具回收桶,醫事機構,0119CD0020,昆明院區後廣場,(02)23703739,1649,臺北市萬華區昆明街100號,00：00~23：59,
76,63000070,針具回收桶,醫事機構,0119CD0021,昆明院區2樓(女廁),(02)23703739,1649,臺北市萬華區昆明街100號,00：00~23：59,
77,63000070,針具回收桶,公園/市場/公廁,0119CG0006,艋舺公園,(02)23703739,1649,臺北市萬華區廣州街西園路交叉口(在和平西路旁，在1樓升降機旁),00：00~23：59,
78,63000070,針具回收桶,公園/市場/公廁,0119CG0007,萬華16號公廁,(02)23703739,1649,臺北市萬華區環河南路一段286號邊,00：00~23：59,
79,63000080,衛教諮詢站,藥局,0120AB0026,建興藥局,(02)29399993,,臺北市文山區木柵路二段81號,08：00~22：00,
80,63000080,衛教諮詢站,藥局,0120AB0027,健群藥局,(02)29328898,,臺北市文山區景興路41號,08：00~22：30,
81,63000080,衛教諮詢站,藥局,0120AB0028,瑞安藥局,(02)29312888,,臺北市文山區溪口街69-1號,08：30~22：30,
82,63000080,衛教諮詢站,藥局,0120AB0029,華君藥局,(02)29319510,,臺北市文山區興隆路二段60號,09：00~22：00,
83,63000080,針具自動服務機,藥局,0120BB0010,華君藥局,(02)29181518,,臺北市文山區興隆路二段60號,00：00~23：59,
84,63000080,針具自動服務機,藥局,0120BB0011,健群藥局,(02)29181518,,臺北市文山區景興路41號,00：00~23：59,
85,63000080,針具自動服務機,藥局,0120BB0012,建興藥局,(02)29181518,,臺北市文山區木柵路二段81號,00：00~23：59,
86,63000080,針具回收桶,藥局,0120CB0008,華君藥局,(02)23703739,1649,臺北市文山區興隆路二段60號,00：00~23：59,
87,63000080,針具回收桶,藥局,0120CB0009,建興藥局,(02)23703739,1649,臺北市文山區木柵路二段81號,00：00~23：59,
88,63000080,針具回收桶,藥局,0120CB0010,健群藥局,(02)23703739,1649,臺北市文山區景興路41號,00：00~23：59,
