站號,廠牌,站名,行政區,郵遞區號,地址,電話,負責人
A98,台鈴,祥騰機車行,文山區,116066,臺北市文山區景興路94號,(02)29321453,李木傳
A99,山葉,威烝車業行,文山區,116065,臺北市文山區景興路28-1號,(02)29336070,鄭揚瑞
AA0,山葉,騰暉車業行,文山區,116069,臺北市文山區興隆路2段18號,(02)29355119,蔡文文
AA1,三陽,弘偉車業有限公司,文山區,116052,臺北市文山區羅斯福路6段317號,(02)29310378,陳志祥
AA2,山葉,雄大車業行,北投區,112015,臺北市北投區中和街453-11號,(02)28950910,何宜修
AA4,山葉,和峰車業有限公司,北投區,112051,臺北市北投區致遠一路1段92號,(02)28279551,童美惠
AA5,台鈴,重輪車業有限公司,北投區,112058,臺北市北投區崇仁路1段21號,(02)28918687,呂學殷
AA7,光陽,日星車業行,松山區,105046,臺北市松山區八德路3段198號,(02)25780643,黃棟樑
AA8,光陽,亞帝車業有限公司,南港區,115017,臺北市南港區中坡南路43號,(02)27852274,彭福強
AA9,三陽,尚益車業有限公司,松山區,105002,臺北市松山區五常街281-2號,(02)27129855,陳奎宇
AB0,光陽,新光機車行,松山區,105010,臺北市松山區民生東路5段57號,(02)27612708,蔡月琴
AB1,三陽,千翔車業行,松山區,105033,臺北市松山區光復北路109號,(02)27693225,林振文
AB2,山葉,佳昇機車行,松山區,105023,臺北市松山區健康路44號,(02)87707177,易正盛
AB3,山葉,吉安運動器材有限公司,信義區,110041,臺北市信義區中坡南路287號,(02)27265996,衛霖森
AB4,山葉,春崇車業行,信義區,110041,臺北市信義區福德街268巷1號,(02)27591500,張嘉琪
AB6,光陽,儀弘機車行,南港區,115021,臺北市南港區研究院路1段185號,(02)27881023,潘月娥
AB7,三陽,高陞機車行,南港區,115024,臺北市南港區研究院路2段72號,(02)27821361,高文義
AB8,光陽,瑞明機車行,大同區,103012,臺北市大同區長安西路199號,(02)25595038,黃武雄
AB9,光陽,三育機車有限公司,文山區,116065,臺北市文山區景隆街54號,(02)29315966,陳秋永
AC0,山葉,欣利機車有限公司,萬華區,108035,臺北市萬華區西園路2段288之1號,(02)23094206,張清輝
AC1,台鈴,鑫東園車業有限公司,萬華區,108032,臺北市萬華區東園街105號,(02)23035374,楊承達
AC2,光陽,葉山車行,萬華區,108012,臺北市萬華區桂林路30號,(02)23062832,徐秋蓮
AC3,光陽,尚億車業有限公司,萬華區,108045,臺北市萬華區萬大路500號,(02)23016258,林偉傑
AC4,三陽,盟業車業行,士林區,111054,臺北市士林區通河街169號,(02)28864407,呂金隆
AC5,三陽,好發達車業,士林區,111036,臺北市士林區天母東路8巷99號,(02)28735552,蔡昇達
AC6,三陽,新天母機車行,士林區,111048,臺北市士林區中山北路6段405巷83號,(02)28768286,林俊忠
AC7,山葉,銘豐機車行,士林區,111011,臺北市士林區文林路314號,(02)28819070,汪碧雲
AC8,商會,小緯機車行,大同區,103046,臺北市大同區大龍街26號,(02)25572788,李建緯
AC9,山葉,旭宏車業行,信義區,110003,臺北市信義區和平東路3段285號,(02)27385828,沈毓翔
AD1,哈特佛,東貿機車有限公司,大安區,106035,臺北市大安區基隆路2段233號,(02)27351212,黃正德
AD2,光陽,德剛車行有限公司,中山區,104004,臺北市中山區天津街27號,(02)25318292,林鴻鑫
AD3,商會,偉恆有限公司,中山區,104035,臺北市中山區吉林路408號,(02)25950909,黃立偉
AD4,光陽,世輪機車行,中正區,100049,臺北市中正區汀州路2段76號,(02)23680029,鄭秀玉
AD5,光陽,日昇機車行,內湖區,114046,臺北市內湖區康寧路3段16巷115號,(02)26321200,郭誌銘
AD6,三陽,宏淞車業有限公司,內湖區,114015,臺北市內湖區金龍路87號,(02)27902769,曾振豪
AD7,山葉,正倫車業行,內湖區,114038,臺北市內湖區康樂街67號,(02)26331673,林瑩霞
AD8,光陽,金展機車行,北投區,112050,臺北市北投區自強街62號,(02)28232068,李瑞德
AD9,山葉,聯耀機車行,萬華區,108003,臺北市萬華區環河南路1段21號,(02)23617187,李碧珠
AF1,三陽,唭哩岸機車行,北投區,112034,臺北市北投區致遠二路89號,(02)28226981,葉淑娥
AF2,三陽,昇輪機車行,信義區,110032,臺北市信義區信義路6段47號,(02)27282084,劉銹錦
AF3,山葉,友順機車行,萬華區,108056,臺北市萬華區萬大路423巷27號,(02)23391766,蔡金龍
AF5,光陽,巨揚機車行,士林區,111069,臺北市士林區中正路605號,(02)28131959,林振華
AF6,三陽,信全車業有限公司,大安區,106054,臺北市大安區通化街168號,(02)27389789,許溪泉
AF8,山葉,立豐機車行,中正區,100056,臺北市中正區重慶南路3段32號,(02)23072575,侯秋燕
AF9,光陽,國祥機車行,內湖區,114054,臺北市內湖區康樂街32號,(02)26333510,曹永陣
AG0,光陽,葉陽車業行,內湖區,114747,臺北市內湖區民權東路6段320號,(02)26345556,周鴻政
AG1,三陽,通龍車業行,內湖區,114008,臺北市內湖區港墘路34號,(02)27996478,林振昌
AG2,三陽,大發車業,北投區,112061,臺北市北投區中央北路2段167號,(02)28955121,詹文琦
AG3,光陽,崑宏機車行,松山區,105072,臺北市松山區撫遠街362號,(02)27476668,盧蘇阿葉
AG4,山葉,大慶機車材料行,信義區,110015,臺北市信義區莊敬路325巷33號,(02)27224533,林靜惠
AG5,山葉,東勝機車行,信義區,110050,臺北市信義區松仁路167號,(02)27291027,黃東安
AG7,山葉,益群車業有限公司,南港區,115006,臺北市南港區東新街69號,(02)26511998,洪淑華
AG8,三陽,民豐機車行,南港區,115016,臺北市南港區成福路137號,(02)27858389,王秀玉
AG9,三陽,政賢機車行,南港區,115011,臺北市南港區忠孝東路7段564號,(02)27834062,李信賢
AH2,山葉,億林機車行,萬華區,108024,臺北市萬華區艋舺大道416號,(02)23025528,孫溪林
AH3,三陽,一成機車有限公司,中正區,100015,臺北市中正區新生南路1段134-1號,(02)23215118,林躍庭
AH4,三陽,紘益機車行,中正區,100056,臺北市中正區牯嶺街77號,(02)23968808,商嘉宏
AH5,商會,皇信機車行,大安區,106086,臺北市大安區濟南路3段68號,(02)27520622,蔡明成
AH6,光陽,興陽機車行,內湖區,114047,臺北市內湖區五分街39號,(02)26323772,林秉宏
AH7,山葉,誠鎰車業行,士林區,111020,臺北市士林區德行東路23號,(02)28362220,陳惠如
AH9,三陽,翊翔機車行,大同區,103047,臺北市大同區錦西街67號,(02)25536665,林子雄
AI0,山葉,欣民機車行,北投區,112043,臺北市北投區行義路21號,(02)28740905,賴民禮
AI1,三陽,裕進車業行,信義區,110004,臺北市信義區富陽街63號,(02)27321673,蔡進奎
AI2,商會,小林機車行,大安區,106022,臺北市大安區建國南路2段79巷3號,(02)27087471,林世魁
AI4,協隆電機,協合國際行銷有限公司,萬華區,108028,臺北市萬華區和平西路2段182號,(02)77137716,劉燦慧
AI5,三陽,鎧詮機車行,內湖區,114006,臺北市內湖區內湖路1段31號,(02)27992419,洪益詮
AI6,商會,駿全車坊,大安區,106069,臺北市大安區市民大道4段22號,(02)27727739,王俊傑
AI7,商會,致盛機車行,大安區,106006,臺北市大安區金華街118-4號,(02)23943990,游季偉
AI8,光陽,成功車業行,內湖區,114015,臺北市內湖區金龍路9號,(02)27961751,郭志明
AI9,商會,達成車業有限公司,文山區,116071,臺北市文山區興隆路2段177號,(02)29317227,高志宏
AJ1,光陽,嘉盛車業行,士林區,111068,臺北市士林區延平北路6段139號,(02)28126456,張振盛
AJ2,山葉,永承車業行,松山區,105030,臺北市松山區健康路230號,(02)27618169,吳勝雄
AJ3,光陽,德龍車業行,士林區,111004,臺北市士林區故宮路41巷1號,(02)28882256,吳建龍
AJ4,山葉,俊明機車行,信義區,110021,臺北市信義區吳興街469號,(02)27294238,吳俊明
AJ5,自營,勵瑩車業有限公司,信義區,110062,臺北市信義區松山路348號,(02)27682775,彭胡鳳英
AJ6,光陽,順達機車行,北投區,112026,臺北市北投區立農街2段206號,(02)28273761,鄭進福
AJ7,山葉,車強機車行,萬華區,108027,臺北市萬華區環河南路2段105號,(02)23067553,陳少玉
AJ8,山葉,季祥車業行,南港區,115021,臺北市南港區研究院路1段45號,(02)27883297,王仁鴻
AJ9,三陽,祥和機車行,萬華區,108027,臺北市萬華區環河南路2段117號,(02)23088967,羅淑惠
AK0,山葉,國真車業有限公司,大同區,103030,臺北市大同區哈密街63巷1號,(02)25961888,連素真
AK1,山葉,三沅行車業股份有限公司,信義區,110037,臺北市信義區忠孝東路5段713號,(02)87851899,潘明洲
AK4,光陽,玟樺機車行,內湖區,114061,臺北市內湖區內湖路1段91巷7號,(02)27997488,曾文華
AK5,商會,典輪機車行,大安區,106022,臺北市大安區建國南路2段161號,(02)27072733,陳經典
AK6,山葉,偉翔機車行,中山區,104009,臺北市中山區長安東路1段45號,(02)25119195,康田
AK7,光陽,展悅機車行,北投區,112004,臺北市北投區公館路146號,(02)28949129,何瑞通
AK8,光陽,僑王機車行,北投區,112031,臺北市北投區致遠二路116號,(02)28205708,廖展誌
AK9,光陽,鴻吉機車行,文山區,116081,臺北市文山區興隆路3段117號,(02)22308318,劉清坡
AL0,三陽,慧昌機車行,文山區,116008,臺北市文山區木柵路3段102巷7號,(02)86611049,陳雪妮
AL1,自營,駿輝機車行,士林區,111041,臺北市士林區大南路295號,(02)28881771,徐濤
AL4,三陽,新鎰昌機車行,士林區,111006,臺北市士林區至誠路1段2-6號,(02)28313711,蘇芬芬
AL5,三陽,朝日車業行,中山區,104068,臺北市中山區民權東路2段133號,(02)25066372,鄭榮輝
AL6,商會,聯盈機車材料行,北投區,112018,臺北市北投區中央北路4段545號,(02)28920623,林嘉政
AL7,光陽,坤達機車行,內湖區,114006,臺北市內湖區文湖街75號,(02)26578305,柯坤達
AL8,三陽,峻東機車行,內湖區,114055,臺北市內湖區東湖路119巷49弄30號,(02)26337968,葉秀銘
AL9,三陽,承鋒車業行,萬華區,108025,臺北市萬華區西園路2段67之2號,(02)23080669,徐正雄
AM0,山葉,建維機車行,大安區,106004,臺北市大安區潮州街86號,(02)23410243,簡陳碧雲
AM1,光陽,力鼎機車行,信義區,110057,臺北市信義區基隆路一段99號,(02)27855522,廖德政
AM2,商會,原益車業行,士林區,111064,臺北市士林區延平北路5段14號,(02)28128212,李忠喜
AM3,商會,卉茂實業有限公司,士林區,111044,臺北市士林區文林路764號,(02)28319416,謝林麗豐
AM4,商會,百鉅機車行,內湖區,114027,臺北市內湖區成功路2段314號,(02)27920086,曾德昌
AM5,商會,豪信機車行,信義區,110047,臺北市信義區松隆路211號,(02)27602773,何政憲
AM6,光陽,泓原彰車業行,中山區,104087,臺北市中山區中原街23號,(02)25410110,詹秉樟
AM7,商會,誠鴻機車行,內湖區,114032,臺北市內湖區民權東路6段60號,(02)27939829,李志成
AM8,商會,大利車業行,北投區,112023,臺北市北投區中央北路1段203號,(02)28954867,張永和
AM9,商會,樺新車業行,大安區,106069,臺北市大安區市民大道4段64號,(02)27212062,吳志遠
AN0,光陽,永全機車行,中山區,104015,臺北市中山區中山北路2段137巷36-2號,(02)25114713,呂金國
AN1,商會,浩成機車行,北投區,112058,臺北市北投區崇仁路1段40號,(02)28982710,許位誠
AN2,山葉,飛皇車業行,內湖區,114024,臺北市內湖區內湖路2段9號,(02)27993707,章香琴
AN3,光陽,豪成機車行,萬華區,108028,臺北市萬華區和平西路2段190巷5號,(02)23085576,蔡榮龍
AN4,三陽,日輝車業有限公司,士林區,111065,臺北市士林區延平北路5段41號,(02)28119912,丁東日
AN5,商會,元信機車行有限公司,文山區,116007,臺北市文山區木柵路2段125號,(02)29395976,溫仕傳
AN6,光陽,益昇機車行,信義區,110014,臺北市信義區莊敬路214號,(02)27208285,李坤憲
AN7,光陽,老羅機車行,松山區,105060,臺北市松山區塔悠路206號,(02)27611373,羅重庚
AN9,光陽,惠展車業,南港區,115005,臺北市南港區福德街354號,(02)27864091,邱阿亮
AP0,山葉,米德車業行,內湖區,114061,臺北市內湖區環山路2段21號,(02)27978295,古丞凱
AP1,山葉,迅誠機車行,大安區,106052,臺北市大安區通化街171巷11號,(02)27384621,丁進忠
AP2,商會,新星機車行,中山區,104033,臺北市中山區新生北路3段91號,(02)25973766,許明貴
AP3,光陽,草山車業,北投區,112053,臺北市北投區東陽街470號1樓,(02)28280568,林祺富
AP4,山葉,德客隆機車行,萬華區,108030,臺北市萬華區西藏路170號1樓,(02)23028688,陳柏榮
AP5,光陽,尚勇車業行,松山區,105056,臺北市松山區八德路4段332號,(02)27476009,張雅萍
AP6,光陽,嘉駿機車行,南港區,115016,臺北市南港區成福路155號1樓,(02)26522360,王健治
AP7,光陽,翔偉機車行,信義區,110038,臺北市信義區福德街66號1樓,(02)27591223,葉聰明
AP8,三陽,福星機車行,文山區,116017,臺北市文山區木新路2段123號,(02)29392485,廖銘恭
AQ0,商會,北大機車材料行,士林區,111012,臺北市士林區中正路411、413號,(02)28892163,張榮芳
AQ1,山葉,家育車業行,南港區,115016,臺北市南港區成福路200-1號1樓,(02)26548333,何樺俊
AQ3,三陽,三漾輪業行,南港區,115026,臺北市南港區忠孝東路6段240號1樓,(02)27861161,莊敬長
AQ4,山葉,合展車業行,文山區,116052,臺北市文山區羅斯福路6段73、75號,(02)29327700,張景州
AQ5,山葉,立偉成有限公司,大同區,103024,臺北市大同區寧夏路127號1樓,(02)25538225,賴宏林
AQ6,光陽,內湖車業有限公司,內湖區,114035,臺北市內湖區文德路18號,(02)27972411,郭錦練
AQ7,山葉,法仕德車業有限公司,內湖區,114031,臺北市內湖區新明路363號,(02)27956362,黃宇宏
AQ8,光陽,摩都車業行,信義區,110019,臺北市信義區吳興街378號1樓,(02)27290106,古紘瑞
AQ9,光陽,光明車業有限公司,信義區,110005,臺北市信義區基隆路2段165號1樓,(02)27365785,陳洪幸姱
AR0,三陽,三光機車行,文山區,116067,臺北市文山區景興路7號1樓,(02)29322568,蔡宗涼
AR1,三陽,永景機車材料行,士林區,111048,臺北市士林區中山北路6段405巷79號1樓,(02)28721918,劉明德
AR2,三陽,進(吉吉)車業行,士林區,111063,臺北市士林區通河東街1段198號1樓,(02)28835319,王豪裕
AR3,光陽,金里車行,萬華區,108018,臺北市萬華區桂林路244巷57號,(02)23061858,張漢生
AR4,光陽,永盛機車行,萬華區,108024,臺北市萬華區環河南路2段300號1樓,(02)23042598,陳哲俊
AR5,山葉,立暉機車行,大安區,106011,臺北市大安區新生南路2段82-1號1樓,(02)23410829,李茂信
AR6,商會,世貿機車材料行,信義區,110068,臺北市信義區松信路162號,(02)27653133,林柏諺
AR7,光陽,旭順車業行,中山區,104020,臺北市中山區中原街55號,(02)25214938,連永昌
AR8,光陽,龍杰車業行,文山區,116005,臺北市文山區木柵路1段206號,(02)86610565,林佶賓
AR9,光陽,興羨機車行,中山區,104111,臺北市中山區興安街65號,(02)25172015,廖崇憲
AS1,光陽,千豐車業行,內湖區,114044,臺北市內湖區安康路191號,(02)26314736,高賜銘
AS2,光陽,崇盛機車行,大安區,106029,臺北市大安區瑞安街152號,(02)27076860,黃崇軒
AS3,山葉,雄偉機車行,大同區,103004,臺北市大同區環河北路1段335號,(02)25531130,洪秀枝
AS5,山葉,冠頡車業行,內湖區,114040,臺北市內湖區康樂街200號1樓,(02)26332066,呂泓頡
AS6,自營,學生機車行有限公司,士林區,111095,臺北市士林區華岡路31之3號1樓,(02)28621991,賴重安
AS7,山葉,祥瑞車業行,松山區,105047,臺北市松山區光復南路46號,(02)25774732,劉家國
AS8,光陽,祥銘機車行,南港區,115029,臺北市南港區興中路80巷14號1樓,(02)27832343,林建文
AS9,光陽,吉全機車行,文山區,116021,臺北市文山區興隆路4段111-2號,(02)29381336,張武雄
AT0,三陽,展旗車業行,信義區,110044,臺北市信義區松山路225巷1號,(02)27671181,許博翔
AT1,光陽,百傑車業行,北投區,112018,臺北市北投區中央北路2段303號,(02)28911509,江柏輝
AT2,山葉,景隆機車有限公司,南港區,115011,臺北市南港區忠孝東路7段597號,(02)27831298,黃信達
AT3,三陽,三之三車業有限公司,中正區,100056,臺北市中正區重慶南路3段56號,(02)66174000,劉雅鳳
AT4,三陽,正泓機車行,信義區,110005,臺北市信義區崇德街78號1樓,(02)27715235,黃泓霖
AT5,山葉,伍邦車業,南港區,115008,臺北市南港區忠孝東路6段284號,(02)27856393,顏志祥
AT6,山葉,豪展機車行,內湖區,114021,臺北市內湖區康寧路1段206號,(02)87928638,邱志豪
AT7,光陽,大仁機車行,信義區,110015,臺北市信義區莊敬路325巷38號,(02)87860708,康慧君
AT8,三陽,政辰車業行,信義區,110003,臺北市信義區信安街184號,(02)27366969,吳介鵬
AT9,山葉,熊大車業行,內湖區,114024,臺北市內湖區內湖路2段114號,(02)26593578,陳聖文
AU0,山葉,東和機車有限公司,內湖區,114011,臺北市內湖區環山路1段96號,(02)26277246,梁哲興
AU1,山葉,聖平車業行,士林區,111068,臺北市士林區延平北路6段149號,(02)28160031,郭建平
AU2,光陽,英詮機車行,中山區,104047,臺北市中山區北安路656號1樓,(02)25327227,許哲嘉
AU3,三陽,良偉機車行,北投區,112026,臺北市北投區立農街2段284號1樓,(02)28210312,余登宏
AU4,山葉,健展車業行,北投區,112018,臺北市北投區中央北路4段479號,(02)28931700,陳如馨
AU5,山葉,龍騰車業行,文山區,116001,臺北市文山區木柵路1段34號,(02)22365129,周彥龍
AU6,三陽,致盛國際車業有限公司,中正區,100054,臺北市中正區重慶南路3段130-1、130-2號,(02)23943990,陳志行
AU7,三陽,凱聿車業有限公司,北投區,112040,臺北市北投區明德路150巷5號1樓,(02)28234190,林顥文
AU8,光陽,振昇機車行,北投區,112011,臺北市北投區中和街241號1樓,(02)28986220,吳德文
AU9,光陽,金順機車行,北投區,112009,臺北市北投區育仁路137號1樓,(02)28916776,鄭志星
AV0,三陽,丞時機車行,信義區,110038,臺北市信義區大道路31號,(02)27595337,王濬麟
AV1,山葉,禾錡車業行,中正區,100050,臺北市中正區汀州路2段251號,(02)23651699,陳澤文
AV2,光陽,孟軒機車行,文山區,116005,臺北市文山區木柵路一段180號1樓,(02)29392858,鄭如傑
AV3,三陽,動力羊機車部品開發有限公司,內湖區,114031,臺北市內湖區新明路339號1樓,(02)27946855,陳宋誠
AV4,山葉,鑫勝車業行,內湖區,114053,臺北市內湖區文德路90巷28號1樓,(02)87510921,郭忠勝
AV5,三陽,德興鑫車業行,大安區,106068,臺北市大安區延吉街270號,(02)27086699,陳冠豪
AV6,光陽,辰昶機車行,信義區,110006,臺北市信義區信安街80號,(02)27328138,何榮峰
AV7,三陽,原馳機車行,北投區,112063,臺北市北投區東華街2段14號1樓,(02)28223776,宋柏緯
AV8,三陽,聲豪機車行,北投區,112062,臺北市北投區西安街2段185號1樓,(02)28236173,陳信偉
AV9,三陽,人豪機車行,信義區,110014,臺北市信義區莊敬路204號1樓,(02)27234925,葉貂群
