項次,管制編號,機構名稱,機構電話,機構地址,再利用廢棄物,最大月再利用量（公噸/月）,廢棄物來源,再利用用途,檢核通過日期,檢核到期日期,批發零售業
7,A40A6732,順羿股份有限公司,09-87075750,(116)臺北市文山區辛亥路四段一六六巷五之四號五樓,(R-0105)廢酒糟、酒粕、酒精醪,3000,公告可直接再利用；食品及飲料製造業在酒類釀造配製製程產生之廢酒糟、酒粕或酒精醪。但依相關法規認定為有害事業廢棄物者，不適用之。(經濟部),飼料原料,2022-07-04,2027-07-04,是
,,,,,(R-0105)廢酒糟、酒粕、酒精醪,5000,公告可直接再利用；食品及飲料製造業在酒類釀造配製製程產生之廢酒糟、酒粕或酒精醪。但依相關法規認定為有害事業廢棄物者，不適用之。(經濟部),飼料,2022-07-04,2027-07-04,是
,,,,,(R-0105)廢酒糟、酒粕、酒精醪,1200,公告可直接再利用；食品及飲料製造業在酒類釀造配製製程產生之廢酒糟、酒粕或酒精醪。但依相關法規認定為有害事業廢棄物者，不適用之。(經濟部),有機質肥料原料,2022-07-04,2027-07-04,是
,,,,,(R-0105)廢酒糟、酒粕、酒精醪,300,公告可直接再利用；食品及飲料製造業在酒類釀造配製製程產生之廢酒糟、酒粕或酒精醪。但依相關法規認定為有害事業廢棄物者，不適用之。(經濟部),有機質栽培介質原料,2022-07-04,2027-07-04,是
,,,,,(R-0105)廢酒糟、酒粕、酒精醪,500,公告可直接再利用；食品及飲料製造業在酒類釀造配製製程產生之廢酒糟、酒粕或酒精醪。但依相關法規認定為有害事業廢棄物者，不適用之。(經濟部),生質能原料,2022-07-04,2027-07-04,是
8,A45B6734,榮盛五金鐵材有限公司,02-23775198,(110)臺北市信義區嘉興街一五一號一樓,(R-1301)廢鐵,434.7,事業產生之廢鐵。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),鑄鐵原料,2022-08-18,2027-08-18,是
,,,,,(R-0201)廢塑膠,24.15,事業產生之廢塑膠。但依相關法規認定為有害事業廢棄物或醫療用廢塑膠（點滴輸注液容器、輸液導管、廢針筒、廢藥水桶）者，不適用之。(共通性),塑膠粒原料,2022-08-18,2027-08-18,是
,,,,,(R-1302)廢銅,48.3,事業產生具金屬或合金型態之廢單一金屬（銅、鋅、鋁、錫）。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),銅製品原料,2022-08-18,2027-08-18,是
,,,,,(R-0601)廢紙,24.15,事業產生之廢紙。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),漿紙原料,2022-08-18,2027-08-18,是
,,,,,(R-1304)廢鋁,48.3,事業產生具金屬或合金型態之廢單一金屬（銅、鋅、鋁、錫）。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),鋁製品原料,2022-08-18,2027-08-18,是
,,,,,(R-0201)廢塑膠,24.15,事業產生之廢塑膠。但依相關法規認定為有害事業廢棄物或醫療用廢塑膠（點滴輸注液容器、輸液導管、廢針筒、廢藥水桶）者，不適用之。(共通性),塑膠製品,2022-08-18,2027-08-18,是
,,,,,(R-0201)廢塑膠,24.15,事業產生之廢塑膠。但依相關法規認定為有害事業廢棄物或醫療用廢塑膠（點滴輸注液容器、輸液導管、廢針筒、廢藥水桶）者，不適用之。(共通性),塑膠製品原料,2022-08-18,2027-08-18,是
,,,,,(R-1301)廢鐵,434.7,事業產生之廢鐵。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),鑄鋼原料,2022-08-18,2027-08-18,是
,,,,,(R-1301)廢鐵,434.7,事業產生之廢鐵。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),鐵製品原料,2022-08-18,2027-08-18,是
,,,,,(R-1301)廢鐵,434.7,事業產生之廢鐵。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),煉鋼原料,2022-08-18,2027-08-18,是
,,,,,(R-1302)廢銅,48.3,事業產生具金屬或合金型態之廢單一金屬（銅、鋅、鋁、錫）。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),鋼鐵製品原料,2022-08-18,2027-08-18,是
,,,,,(R-1304)廢鋁,48.3,事業產生具金屬或合金型態之廢單一金屬（銅、鋅、鋁、錫）。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),鋼鐵製品原料,2022-08-18,2027-08-18,是
9,A36C0982,大專環保科技有限公司,02-23062339,(100)臺北市中正區西藏路一一○號,(R-1301)廢鐵,10.8,事業產生之廢鐵。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),鐵製品原料,2022-12-08,2027-12-08,是
,,,,,(R-0201)廢塑膠,5.4,事業產生之廢塑膠。但依相關法規認定為有害事業廢棄物或醫療用廢塑膠（點滴輸注液容器、輸液導管、廢針筒、廢藥水桶）者，不適用之。(共通性),塑膠製品,2022-12-08,2027-12-08,是
,,,,,(R-1301)廢鐵,10.8,事業產生之廢鐵。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),鑄鐵原料,2022-12-08,2027-12-08,是
,,,,,(R-0601)廢紙,108,事業產生之廢紙。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),漿紙原料,2022-12-08,2027-12-08,是
,,,,,(R-1302)廢銅,5.4,事業產生具金屬或合金型態之廢單一金屬（銅、鋅、鋁、錫）。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),銅製品原料,2022-12-08,2027-12-08,是
,,,,,(R-1301)廢鐵,10.8,事業產生之廢鐵。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),煉鋼原料,2022-12-08,2027-12-08,是
,,,,,(R-0201)廢塑膠,5.4,事業產生之廢塑膠。但依相關法規認定為有害事業廢棄物或醫療用廢塑膠（點滴輸注液容器、輸液導管、廢針筒、廢藥水桶）者，不適用之。(共通性),塑膠粒原料,2022-12-08,2027-12-08,是
,,,,,(R-1301)廢鐵,10.8,事業產生之廢鐵。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),鑄鋼原料,2022-12-08,2027-12-08,是
,,,,,(R-0201)廢塑膠,5.4,事業產生之廢塑膠。但依相關法規認定為有害事業廢棄物或醫療用廢塑膠（點滴輸注液容器、輸液導管、廢針筒、廢藥水桶）者，不適用之。(共通性),塑膠製品原料,2022-12-08,2027-12-08,是
,,,,,(R-1302)廢銅,5.4,事業產生具金屬或合金型態之廢單一金屬（銅、鋅、鋁、錫）。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),鋼鐵製品原料,2022-12-08,2027-12-08,是
10,A39C0046,新勝光機械有限公司,02-25018600,(104)臺北市中山區復興北路四七六號三樓,(R-1301)廢鐵,400,事業產生之廢鐵。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),煉鋼原料,2023-02-09,2028-02-09,是
11,A4004950,好名企業有限公司-好名賸餘土石方及營建混合物資源處理場,02-22396171,(116)臺北市文山區木柵路五段五八號,(R-0503)營建混合物,14583,工程施工建造、建築拆除、裝修工程及整地刨除所產生之事業廢棄物 (內政部(營造業)),工程填地及道路工程級配料,2023-02-13,2028-02-13,否
12,A4300126,力泰建設企業股份有限公司,02-28103001,(111)臺北市士林區延平北路七段七號,(R-1106)燃煤飛灰,4000,事業以煤為單一燃料之鍋爐、混燒百分之五(重量比)以下廢棄物衍生燃料或生質燃料之燃煤發電鍋爐或混燒百分之十（重量比）以下木質顆粒（符合固態生質燃料－燃料規範與等級－第2部：分級木質顆粒之燃料規範）之燃煤電廠發電鍋爐產生之飛灰或底灰(經濟部),混凝土攙和物,2023-12-12,2028-12-12,否
13,A3405533,力隆砂石實業有限公司-力隆營建混合物分類場,02-25175433,(105)臺北市松山區濱江街八六二號,(R-0503)營建混合物,10800,工程施工建造、建築拆除、裝修工程及整地刨除所產生之事業廢棄物 (內政部(營造業)),工程填地及道路工程級配料,2024-02-21,2029-02-21,否
14,A34A1728,元鼎金屬股份有限公司,02-27925169,(105)臺北市松山區新東街一二巷三九號一樓,(R-1302)廢銅,180,事業產生具金屬或合金型態之廢單一金屬（銅、鋅、鋁、錫）。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),銅製品原料,2024-05-29,2029-05-29,是
,,,,,(R-1301)廢鐵,550,事業產生之廢鐵。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),鐵錠原料,2024-05-29,2029-05-29,是
,,,,,(R-0201)廢塑膠,20,事業產生之廢塑膠。但依相關法規認定為有害事業廢棄物或醫療用廢塑膠（點滴輸注液容器、輸液導管、廢針筒、廢藥水桶）者，不適用之。(共通性),塑膠製品原料,2024-05-29,2029-05-29,是
,,,,,(R-1304)廢鋁,650,事業產生具金屬或合金型態之廢單一金屬（銅、鋅、鋁、錫）。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),鋁製品原料,2024-05-29,2029-05-29,是
15,A42B0177,豐鴻實業股份有限公司,02-27929293,(114)臺北市內湖區安康路二一六號一樓,(R-0701)廢木材,1200,"公告可直接再利用；事業產生之廢木材（板、屑、木質電桿、木質橫擔或枕木）。但依相關法規認定為有害事業廢棄物者，不適用之。(交通部逕依經濟部,財政部逕依經濟部,國科會逕依經濟部,經濟部,環境部逕依經濟部)",燃料原料,2024-06-13,2029-06-13,否
16,A42A2443,展嘉資源處理有限公司-同怡混合物分類處理場,02-27940157,(114)臺北市內湖區潭美街五三三號,(R-0503)營建混合物,6525,工程施工建造、建築拆除、裝修工程及整地刨除所產生之事業廢棄物 (內政部(營造業)),工程填地及道路工程級配料,2024-07-09,2029-07-09,否
17,A44A0992,忠全工程有限公司-忠全營建混合物資源分類處理場,02-28967696,(112)臺北市北投區立德路一二○巷二二之一號,(R-0503)營建混合物,4500,工程施工建造、建築拆除、裝修工程及整地刨除所產生之事業廢棄物 (內政部(營造業)),工程填地及道路工程級配料,2024-07-10,2029-07-10,否
18,A34B8761,有財環保有限公司,0913-810996,(105)臺北市松山區敦化南路一段七號五樓,(R-1106)燃煤飛灰,20000,事業以煤為單一燃料之鍋爐、混燒百分之五(重量比)以下廢棄物衍生燃料或生質燃料之燃煤發電鍋爐或混燒百分之十（重量比）以下木質顆粒（符合固態生質燃料－燃料規範與等級－第2部：分級木質顆粒之燃料規範）之燃煤電廠發電鍋爐產生之飛灰或底灰(經濟部),混凝土攙和物,2024-07-22,2029-07-22,是
19,A44A2601,磬鴻有限公司-磬鴻營建混合物資源分類處理場,02-28930701,(112)臺北市北投區承德路七段四○一巷六二○弄八號,(R-0503)營建混合物,19200,工程施工建造、建築拆除、裝修工程及整地刨除所產生之事業廢棄物 (內政部(營造業)),因分類作業所附帶產生之金屬屑、玻璃碎片、塑膠類、木屑,2024-07-31,2029-07-31,否
20,A44A0853,浤欣有限公司-浤欣賸餘土石方及營建混合物處理場,02-28233535,(112)臺北市北投區立賢路一一一號,(R-0503)營建混合物,5200,工程施工建造、建築拆除、裝修工程及整地刨除所產生之事業廢棄物 (內政部(營造業)),營建工程材料,2024-09-18,2029-09-18,否
21,A3405622,昂霖環保工程有限公司,02-27636659,(105)臺北市松山區八德路四段六二六號六樓,(R-1302)廢銅,31.2,事業產生具金屬或合金型態之廢單一金屬（銅、鋅、鋁、錫）。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),銅製品原料,2024-10-24,2029-10-24,是
,,,,,(R-1301)廢鐵,150,事業產生之廢鐵。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),鑄鐵原料,2024-10-24,2029-10-24,是
,,,,,(R-0601)廢紙,40,事業產生之廢紙。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),漿紙原料,2024-10-24,2029-10-24,是
,,,,,(R-1304)廢鋁,20.8,事業產生具金屬或合金型態之廢單一金屬（銅、鋅、鋁、錫）。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),鋁製品原料,2024-10-24,2029-10-24,是
,,,,,(R-1303)廢鋅,18.2,事業產生具金屬或合金型態之廢單一金屬（銅、鋅、鋁、錫）。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),鋅製品原料,2024-10-24,2029-10-24,是
,,,,,(R-0201)廢塑膠,1.5,事業產生之廢塑膠。但依相關法規認定為有害事業廢棄物或醫療用廢塑膠（點滴輸注液容器、輸液導管、廢針筒、廢藥水桶）者，不適用之。(共通性),塑膠製品原料,2024-10-24,2029-10-24,是
,,,,,(R-1305)廢錫,36.4,事業產生具金屬或合金型態之廢單一金屬（銅、鋅、鋁、錫）。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),錫製品原料,2024-10-24,2029-10-24,是
22,A43C1771,永秀興業有限公司,02-88112808,(111)臺北市士林區重慶北路四段二四八號一樓,(R-0601)廢紙,16.74,事業產生之廢紙。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),漿紙原料,2024-11-13,2029-11-13,是
,,,,,(R-1303)廢鋅,5.58,事業產生具金屬或合金型態之廢單一金屬（銅、鋅、鋁、錫）。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),鋅製品原料,2024-11-13,2029-11-13,是
,,,,,(R-0201)廢塑膠,78.12,事業產生之廢塑膠。但依相關法規認定為有害事業廢棄物或醫療用廢塑膠（點滴輸注液容器、輸液導管、廢針筒、廢藥水桶）者，不適用之。(共通性),塑膠製品原料,2024-11-13,2029-11-13,是
,,,,,(R-1301)廢鐵,16.74,事業產生之廢鐵。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),鐵製品原料,2024-11-13,2029-11-13,是
,,,,,(R-0201)廢塑膠,78.12,事業產生之廢塑膠。但依相關法規認定為有害事業廢棄物或醫療用廢塑膠（點滴輸注液容器、輸液導管、廢針筒、廢藥水桶）者，不適用之。(共通性),塑膠製品,2024-11-13,2029-11-13,是
,,,,,(R-0201)廢塑膠,78.12,事業產生之廢塑膠。但依相關法規認定為有害事業廢棄物或醫療用廢塑膠（點滴輸注液容器、輸液導管、廢針筒、廢藥水桶）者，不適用之。(共通性),塑膠粒原料,2024-11-13,2029-11-13,是
,,,,,(R-1303)廢鋅,5.58,事業產生具金屬或合金型態之廢單一金屬（銅、鋅、鋁、錫）。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),鋼鐵製品原料,2024-11-13,2029-11-13,是
,,,,,(R-1301)廢鐵,16.74,事業產生之廢鐵。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),煉鋼原料,2024-11-13,2029-11-13,是
,,,,,(R-1301)廢鐵,16.74,事業產生之廢鐵。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),鑄鐵原料,2024-11-13,2029-11-13,是
,,,,,(R-1305)廢錫,5.58,事業產生具金屬或合金型態之廢單一金屬（銅、鋅、鋁、錫）。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),鋼鐵製品原料,2024-11-13,2029-11-13,是
,,,,,(R-1305)廢錫,5.58,事業產生具金屬或合金型態之廢單一金屬（銅、鋅、鋁、錫）。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),錫製品原料,2024-11-13,2029-11-13,是
,,,,,(R-1302)廢銅,5.58,事業產生具金屬或合金型態之廢單一金屬（銅、鋅、鋁、錫）。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),銅製品原料,2024-11-13,2029-11-13,是
,,,,,(R-1302)廢銅,5.58,事業產生具金屬或合金型態之廢單一金屬（銅、鋅、鋁、錫）。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),鋼鐵製品原料,2024-11-13,2029-11-13,是
,,,,,(R-1301)廢鐵,16.74,事業產生之廢鐵。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),鑄鋼原料,2024-11-13,2029-11-13,是
,,,,,(R-1304)廢鋁,5.58,事業產生具金屬或合金型態之廢單一金屬（銅、鋅、鋁、錫）。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),鋁製品原料,2024-11-13,2029-11-13,是
,,,,,(R-1304)廢鋁,5.58,事業產生具金屬或合金型態之廢單一金屬（銅、鋅、鋁、錫）。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),鋼鐵製品原料,2024-11-13,2029-11-13,是
23,A39A1654,守威企業有限公司,02-25013955,(104)臺北市中山區吉林路四三三巷十五號一樓,(R-1301)廢鐵,690,事業產生之廢鐵。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),煉鋼原料,2024-11-18,2029-11-18,是
24,A44C2457,立展農業科技股份有限公司-立展農業科技快速發酵堆肥場,02-28929090,(112)臺北市北投區大業路五二七巷二九號,(R-0104)禽畜糞,180,飼養家禽、畜所產生之禽畜糞、墊料或經固液分離後之糞渣。但由直轄市、縣(市)動物防疫主管機關或動物防疫人員依動物傳染病防治條例相關規定所為之命令、指導或指示處理者 ， 不適用之。(農業部),有機質肥料之原料,2024-12-09,2029-12-09,否
,,,,,(R-0114)果菜殘渣,50,果菜批發市場所產生之果菜殘渣(農業部),有機質肥料之原料,2024-12-09,2029-12-09,否
,,,,,(R-2401)菇類培植廢棄包,80,菇類培植廢棄包，含菇類培植廢棄包之塑膠包裝(農業部),有機質肥料之原料,2024-12-09,2029-12-09,否
25,A45B4570,舶鈞股份有限公司,02-27487657,(110)臺北市信義區基隆路一段一四三號一○樓之二,(R-0201)廢塑膠,30,事業產生之廢塑膠。但依相關法規認定為有害事業廢棄物或醫療用廢塑膠（點滴輸注液容器、輸液導管、廢針筒、廢藥水桶）者，不適用之。(共通性),塑膠粒原料,2024-12-24,2029-12-24,是
26,A34A0849,金茂榮環境工程有限公司-金茂榮營建混合物分類處理場,02-27658686,(105)臺北市松山區撫遠街四三五號,(R-0503)營建混合物,17280,工程施工建造、建築拆除、裝修工程及整地刨除所產生之事業廢棄物 (內政部(營造業)),工程填地及道路工程級配料,2025-01-13,2030-01-13,否
27,A45A5383,台灣豐田通商股份有限公司,02-87226143,(110)臺北市信義區松仁路一○一號五樓,(R-1301)廢鐵,1488,事業產生之廢鐵。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),煉鋼原料,2025-01-17,2030-01-17,是
28,A38C3461,達信運輸股份有限公司,02-27017093,(103)臺北市大同區承德路一段三五號八樓之一,(R-1106)燃煤飛灰,10000,事業以煤為單一燃料之鍋爐、混燒百分之五(重量比)以下廢棄物衍生燃料或生質燃料之燃煤發電鍋爐或混燒百分之十（重量比）以下木質顆粒（符合固態生質燃料－燃料規範與等級－第2部：分級木質顆粒之燃料規範）之燃煤電廠發電鍋爐產生之飛灰或底灰(經濟部),混凝土攙和物,2025-01-20,2030-01-20,是
29,A37B1671,勝義環保股份有限公司,02-23146155,(108)臺北市萬華區漢中街一三五號九樓,(R-1106)燃煤飛灰,10000,事業以煤為單一燃料之鍋爐、混燒百分之五(重量比)以下廢棄物衍生燃料或生質燃料之燃煤發電鍋爐或混燒百分之十（重量比）以下木質顆粒（符合固態生質燃料－燃料規範與等級－第2部：分級木質顆粒之燃料規範）之燃煤電廠發電鍋爐產生之飛灰或底灰(經濟部),控制性低強度回填材料原料,2025-01-20,2030-01-20,是
30,A39W4010,雨助水電衛生材料有限公司,02-25182991,(104)臺北市中山區農安街二二七巷三弄一八號一樓,(R-1304)廢鋁,5,事業產生具金屬或合金型態之廢單一金屬（銅、鋅、鋁、錫）。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),鋁製品原料,2025-02-07,2030-02-07,是
,,,,,(R-0201)廢塑膠,60,事業產生之廢塑膠。但依相關法規認定為有害事業廢棄物或醫療用廢塑膠（點滴輸注液容器、輸液導管、廢針筒、廢藥水桶）者，不適用之。(共通性),塑膠製品原料,2025-02-07,2030-02-07,是
,,,,,(R-1301)廢鐵,30,事業產生之廢鐵。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),鐵製品原料,2025-02-07,2030-02-07,是
,,,,,(R-1302)廢銅,5,事業產生具金屬或合金型態之廢單一金屬（銅、鋅、鋁、錫）。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),銅製品原料,2025-02-07,2030-02-07,是
