序號,類別,檢收站名稱,地址,電話,分機
48,醫院,財團法人台灣省私立台北仁濟院附設仁濟醫院,臺北市萬華區廣州街243號,(02)23021133,2141
49,藥局,日康藥局,臺北市士林區士東路12號1樓,(02)28358558,
50,藥局,麗森藥局,臺北市士林區天母西路51號,(02)28714152,
51,藥局,杏城藥局,臺北市士林區天母東路24號,(02)28725144,
52,藥局,佳赫藥局,臺北市士林區文昌路44號,(02)28367202,
53,藥局,文昌大藥局,臺北市士林區文昌路72號,(02)28376196,
54,藥局,加赫藥局,臺北市士林區文昌路76號,(02)28336362,
55,藥局,得安藥局,臺北市士林區文林路140號,(02)28836336,
56,藥局,慈航藥局,臺北市士林區文林路441號,(02)28815988,
57,藥局,社子全民藥局,臺北市士林區延平北路5段120號,(02)28127412,
58,藥局,太安藥局,臺北市士林區延平北路5段157號,(02)28150062,
59,藥局,健揚藥局,臺北市士林區延平北路5段251號1樓,(02)28163697,
60,藥局,博信藥局,臺北市士林區延平北路6段61號,(02)28128295,
61,藥局,安泰藥師藥局,臺北市士林區延平北路6段83號1樓,(02)28166977,
62,藥局,躍獅忠誠藥局,臺北市士林區忠義街70號1樓,(02)28387948,
63,藥局,家赫藥局,臺北市士林區忠義街80號1樓,(02)28346453,
64,藥局,達揚藥局,臺北市士林區社正路36號,(02)88115559,
65,藥局,南風藥局,臺北市士林區美崙街19號1樓,(02)28320375,
66,藥局,陽明藥局,臺北市士林區菁山路10號1樓,(02)28612863,
67,藥局,博惠藥局,臺北市士林區華榮街16號,(02)28320379,
68,藥局,景正藥師中西藥局,臺北市士林區福港街152號,(02)28838762,
69,藥局,躍獅芝山藥局,臺北市士林區福華路154號,(02)28365822,
70,藥局,柏雅大藥局,臺北市士林區德行西路64號,(02)88664398,
71,藥局,新興藥局,臺北市士林區德行西路117號,(02)28362643,
72,藥局,幸福藥局,臺北市士林區德行東路109巷8號,(02)28346650,
73,藥局,康鈺藥局,臺北市士林區德行東路133號1樓,(02)88662055,
74,藥局,天母大和藥師藥局,臺北市士林區德行東路189-1號,(02)28310142,
75,藥局,大東健保藥局,臺北市士林區大東路86-4號,(02)28834672,
76,藥局,德行盛康藥局,臺北市士林區德行東路206之1號,(02)28348756,
77,藥局,千盛台安藥局,臺北市士林區天母東路8巷84號,(02)28720208,
78,藥局,石川藥師藥局,臺北市士林區忠義街70號1樓,(02)28385850,
79,藥局,聖賢藥局,臺北市士林區士商路58號,(02)28833046,
80,藥局,藥本家藥局,臺北市士林區中山北路7段14巷26號1樓,(02)28766682,
81,藥局,田倉藥局,臺北市士林區士東路124號,(02)88662188,
82,藥局,太和堂中西藥局,臺北市士林區大東路74號,(02)28814122,
83,藥局,躍獅福港藥局,臺北市士林區福港街162號1樓,(02)28836209,
84,藥局,大田大藥局,臺北市士林區德行東路133號1樓,(02)28326112,
85,藥局,天母康甯健保藥局,臺北市士林區克強路8號,(02)28366631,
86,藥局,德芳藥局,臺北市大同區民生西路91號,(02)25576869,
87,藥局,健康美藥局,臺北市大同區民族西路165號,(02)25976707,
88,藥局,時春藥局,臺北市大同區赤峰街4號,(02)25597918,
89,藥局,旭豐藥局,臺北市大同區昌吉街96號1樓,(02)25853880,
90,藥局,保慶藥局,臺北市大同區保安街21號,(02)25538988,
91,藥局,三銘大藥局,臺北市大同區迪化街1段80號,(02)25583392,
92,藥局,裕仁藥局,臺北市大同區迪化街2段270-1號,(02)25910064,
93,藥局,柯藥局,臺北市大同區重慶北路3段335巷6號,(02)25948515,
94,藥局,宏泰藥師藥局,臺北市大同區酒泉街131號,(02)25957025,
95,藥局,建祥藥局,臺北市大同區寧夏路17號,(02)25564339,
96,藥局,佳禾藥局,臺北市大同區大龍街262號,(02)25953806,
97,藥局,躍獅文昌藥局,臺北市大同區民生西路108號,(02)25586189,
98,藥局,123宅藥局,臺北市大同區鄭州路123號,(02)25588699,
99,藥局,儷安藥局,臺北市大同區錦西街53巷16號,(02)25578033,
100,藥局,聯合仁愛藥局,臺北市大安區大安路1段157巷1-2號1樓,(02)27039269,
101,藥局,宏恩藥局,臺北市大安區大安路1段181號1樓,(02)27000956,
102,藥局,龍護大藥局,臺北市大安區大安路1段224巷7號1樓,(02)23250686,
103,藥局,世中欣藥局,臺北市大安區永康街2巷8號1樓,(02)23938947,
104,藥局,明星大藥局,臺北市大安區光復南路430-1號1樓,(02)27023747,
105,藥局,安和藥局,臺北市大安區安和路1段102巷3號,(02)27092349,
106,藥局,靜園藥局,臺北市大安區和平東路2段118巷57-1號,(02)27336390,
107,藥局,躍獅敦和藥局,臺北市大安區和平東路3段10號1樓,(02)23785767,
108,藥局,建如藥局,臺北市大安區和平東路3段228巷11號1樓,(02)27331456,
109,藥局,一心藥局,臺北市大安區和平東路3段238號,(02)27321818,
110,藥局,青康藥局,臺北市大安區延吉街248號1樓,(02)27086623,
111,藥局,生光藥局,臺北市大安區忠孝東路3段248巷2號,(02)27780862,
112,藥局,康祥藥局,臺北市大安區忠孝東路4段216巷21號,(02)27734975,
113,藥局,吾家藥局,臺北市大安區信義路4段265巷6-1號,(02)27066425,
114,藥局,吉成藥局,臺北市大安區泰順街7號,(02)23636475,
115,藥局,大興藥局,臺北市大安區通化街39巷50弄15號1樓,(02)27053369,
116,藥局,四維藥局,臺北市大安區復興南路2段151巷43號1樓,(02)27094222,
117,藥局,杏友藥局,臺北市大安區復興南路2段151巷25號,(02)27079451,
118,藥局,赫慶藥局,臺北市大安區瑞安街208巷11弄5號1樓,(02)27063497,
119,藥局,寶德藥局,臺北市大安區樂利路105號1樓,(02)27364240,
120,藥局,永康藥局,臺北市大安區麗水街6-2號,(02)23279362,
121,藥局,躍獅新生藥局,臺北市大安區和平東路2段20號,(02)23623367,
122,藥局,杏安堂藥局,臺北市大安區忠孝東路4段77巷30號1樓,(02)27517636,
123,藥局,元氣生活健保藥局,臺北市大安區新生南路1段161巷10號1樓,(02)27060580,
124,藥局,康乃馨藥局,臺北市大安區建國南路1段327號,(02)23257097,
125,藥局,仁華藥局,臺北市大安區臥龍街155號,(02)27336762,
126,藥局,大安健康人生藥局,臺北市大安區信義路4段34號,(02)27025553,
127,藥局,杏一瑞安藥局,臺北市大安區瑞安街208巷11弄1號,(02)27096710,
128,藥局,好安心藥局,臺北市大安區和平東路2段98之2號,(02)23772166,
129,藥局,微笑藥師藥局,臺北市大安區信義路3段31巷4號,(02)27009655,
130,藥局,誠心藥局,臺北市大安區忠孝東路3段199之1號,(02)27527520,
131,藥局,燕福藥局,臺北市大安區羅斯褔路3段283巷14弄14號之3,(02)23627307,
132,藥局,百立藥局,臺北市大安區和平東路3段228巷66號,(02)27327211,
133,藥局,愛維康生活藥局,臺北市大安區四維路170巷21號,(02)27059791,
134,藥局,昶青藥局,臺北市大安區濟南路3段22-1號,(02)27515678,
135,藥局,大愛健康藥局,臺北市大安區敦化南路2段63巷65號,(02)27092156,
136,藥局,博醫仁愛藥局,臺北市大安區仁愛路4段8巷2號1樓,(02)27019107,
137,藥局,頤品中西藥局,臺北市大安區浦城街24-2號,(02)23685656,
138,藥局,宏大藥師藥局,臺北市大安區大安路2段88號,(02)27071245,
139,藥局,大直永安藥局,臺北市中山區北安路569-2號,(02)25332125,
140,藥局,優豐藥局,臺北市中山區民生東路1段32號,(02)25602565,
141,藥局,民生興安藥局,臺北市中山區民生東路3段90-1號,(02)25018310,
142,藥局,禾全藥局,臺北市中山區龍江路332號,(02)25165721,
143,藥局,滿順藥局,臺北市中山區伊通街54號1樓,(02)25075283,
144,藥局,立大藥局,臺北市中山區吉林路144巷14號,(02)25313844,
145,藥局,昶青林森藥局,臺北市中山區林森北路119巷52號,(02)25639939,
146,藥局,久大藥局,臺北市中山區林森北路480號,(02)25111594,
147,藥局,晏晟藥局,臺北市中山區林森北路625號,(02)25851445,
148,藥局,長生藥局,臺北市中山區松江路362巷55號1樓,(02)25816210,
149,藥局,百源堂大藥局,臺北市中山區長安東路2段47-5號1樓,(02)25630711,
150,藥局,金生藥局,臺北市中山區長安東路2段167-1號,(02)27312302,
151,藥局,長安藥局,臺北市中山區長安東路2段171-3號,(02)27772740,
152,藥局,正傑健保藥局,臺北市中山區長安東路2段181號,(02)27310181,
153,藥局,明美藥局,臺北市中山區長春路69號1樓,(02)25637929,
154,藥局,晴光藥局,臺北市中山區農安街23-2號,(02)25951393,
155,藥局,德惠藥局,臺北市中山區德惠街122號,(02)25971131,
156,藥局,康林藥局,臺北市中山區興安街105號,(02)25171867,
157,藥局,貢玄藥局,臺北市中山區錦州街207號,(02)25637847,
158,藥局,順泰藥局,臺北市中山區錦州街266號1樓,(02)25038916,
159,藥局,東東藥局,臺北市中山區長春路257-2號,(02)25031730,
160,藥局,大樹龍江藥局,臺北市中山區龍江路242號,(02)25035666,
161,藥局,龍江藥局,臺北市中山區龍江路356巷14號,(02)25023724,
162,藥局,文德藥局,臺北市中山區龍江路356巷19號1樓,(02)25181178,
163,藥局,榮昌藥局,臺北市中山區雙城街17-3號,(02)25993926,
164,藥局,保德明水藥局,臺北市中山區北安路608巷4弄1號,(02)85097769,
165,藥局,OK藥師藥局,臺北市中山區興安街95號,(02)25170068,
166,藥局,誠意中西藥局,臺北市中山區林森北路613號,(02)25950951,
167,藥局,佳頤中西藥局,臺北市中山區長春路147-1號1樓,(02)25641479,
168,藥局,大愛藥師藥局,臺北市中山區吉林路255號,(02)25424723,
169,藥局,艾禾藥局,臺北市中山區大直街63號1樓,(02)85097275,
170,藥局,美日藥局,臺北市中山區天津街66號1樓,(02)85097275,
171,藥局,仁一藥局,臺北市中山區林森北路520號,(02)25711742,
172,藥局,躍獅南門藥局,臺北市中正區中華路2段39巷10號,(02)23141111,
173,藥局,和平藥局,臺北市中正區中華路2段43號1樓,(02)23755303,
174,藥局,進達健保藥局,臺北市中正區中華路2段453號,(02)23039829,
175,藥局,達昌藥局,臺北市中正區汀州路1段207號,(02)23390109,
176,藥局,日生大藥局,臺北市中正區汀州路1段53號1樓,(02)23031393,
177,藥局,大愛生活藥局,臺北市中正區汀州路2段232號,(02)23661155,
178,藥局,東華藥局,臺北市中正區汀州路3段113號,(02)23640852,
179,藥局,中心藥局,臺北市中正區汀州路3段121號,(02)23657623,
180,藥局,祥全藥局,臺北市中正區信義路2段79巷15-8號1樓,(02)23939339,
181,藥局,71恩典藥局,臺北市中正區信義路1段71號1樓,(02)23223371,
182,藥局,信康藥局,臺北市中正區南昌路1段143號,(02)23961979,
183,藥局,躍獅南寧藥局,臺北市中正區南昌路1段81號,(02)23967072,
184,藥局,南昌大藥局,臺北市中正區南昌路1段86號1樓,(02)23510322,
185,藥局,連雲藥局,臺北市中正區連雲街79號,(02)23410504,
186,藥局,大安藥局,臺北市中正區新生南路1段106號,(02)23213186,
187,藥局,崇信藥局,臺北市中正區齊東街88號,(02)23417557,
188,藥局,吉星藥局,臺北市中正區襄陽路19號1樓,(02)23117779,
189,藥局,桐心藥局,臺北市中正區金華街18之6號1樓,(02)23581663,
190,藥局,活力健康藥妝藥局,臺北市中正區中華路2段315巷1號,(02)23392625,
191,藥局,保德中華藥局,臺北市中正區中華路2段159號,(02)23027720,
192,藥局,立赫健保藥局,臺北市中正區新生南路1段16-2號,(02)33223231,
193,藥局,立赫臺大藥局,臺北市中正區公園路28號1樓,(02)23616162,
194,藥局,博醫和平藥局,臺北市中正區中華路2段75巷1弄39號1樓,(02)23120053,
195,藥局,躍獅麗湖藥局,臺北市內湖區內湖路1段401-1號,(02)26276160,
196,藥局,泰成藥局,臺北市內湖區內湖路3段135號1樓,(02)27921231,
197,藥局,文新藥局,臺北市內湖區文湖街7-5號1樓,(02)87978865,
198,藥局,永安藥局,臺北市內湖區文德路210巷30弄48號,(02)26586658,
199,藥局,康信藥局,臺北市內湖區民權東路6段296巷29號,(02)26342088,
200,藥局,宏光藥局,臺北市內湖區成功路2段221號1樓,(02)27919068,
201,藥局,芳茂藥局,臺北市內湖區成功路4段151號1樓,(02)27924711,
202,藥局,晶龍藥局,臺北市內湖區成功路4段218號1樓,(02)27956255,
203,藥局,富盛藥局,臺北市內湖區成功路4段61巷25弄12號1樓,(02)27908667,
204,藥局,壹零捌藥局,臺北市內湖區成功路4段344號,(02)27910061,
205,藥局,高昱藥局,臺北市內湖區陽光街321巷26號2樓之15,(02)87519962,
206,藥局,清白藥局,臺北市內湖區東湖路108號,(02)26316156,
207,藥局,昇龍藥局,臺北市內湖區東湖路151號1樓,(02)26316783,
208,藥局,明湖藥局,臺北市內湖區東湖路7巷27號1樓,(02)26313515,
209,藥局,杏佳藥師藥局,臺北市內湖區康寧路1段51號,(02)27915726,
210,藥局,宜昇優良藥局,臺北市內湖區康寧路3段165巷10號,(02)26327817,
211,藥局,赫得藥局,臺北市內湖區康樂街72巷17弄4號1樓,(02)26328642,
212,藥局,富山藥局,臺北市內湖區麗山街364巷2號1樓,(02)27996446,
213,藥局,瑞光藥局,臺北市內湖區瑞光路212號1樓,(02)87513365,
214,藥局,樂齡藥師藥局,臺北市內湖區內湖路3段103號,(02)27919707,
215,藥局,喜越藥局,臺北市內湖區內湖路1段285巷59弄7號,(02)26271955,
216,藥局,躍獅東湖藥局,臺北市內湖區金湖路378號1樓,(02)26347983,
217,藥局,躍獅大湖藥局,臺北市內湖區成功路4段339號1樓,(02)27945376,
218,藥局,新安健保藥局,臺北市內湖區新明路402號,(02)27932289,
219,藥局,樂康藥妝藥局,臺北市內湖區文德路117號,(02)28769457,
220,藥局,澴山藥局,臺北市內湖區環山路1段4號,(02)87978793,
221,藥局,西湖藥局,臺北市內湖區內湖路1段355號,(02)26279291,
222,藥局,富田藥局,臺北市內湖區康寧路3段16巷31號1樓,(02)26338699,
223,藥局,盧狄聯合藥局,臺北市內湖區康寧路3段189巷57號,(02)26308897,
224,藥局,佳德健保藥局,臺北市內湖區康寧路3段151號,(02)26315910,
225,藥局,耀元藥局,臺北市內湖區康樂街150號,(02)26337369,
226,藥局,建興藥局,臺北市文山區木柵路2段81號1樓,(02)29399993,
227,藥局,東京晟藥局,臺北市文山區辛亥路4段97號,(02)29356354,
228,藥局,宜康藥局,臺北市文山區保儀路7號,(02)86619862,
229,藥局,躍獅木柵藥局,臺北市文山區指南路1段28號,(02)86617752,
230,藥局,景美藥局,臺北市文山區景文街125號,(02)29335741,
231,藥局,康宜庭景文藥局,臺北市文山區景文街97號,(02)29302801,
232,藥局,健安藥局,臺北市文山區景興路165號,(02)29323757,
233,藥局,健群藥局,臺北市文山區景興路41號,(02)29328898,
234,藥局,瑞安藥局,臺北市文山區溪口街69-1號1樓,(02)29312888,
235,藥局,永明大藥局,臺北市文山區興隆路1段297號1樓,(02)29314428,
236,藥局,逸仙藥師藥局,臺北市文山區興隆路2段218號-1號1樓,(02)29312597,
237,藥局,綠杏萬芳藥局,臺北市文山區興隆路3段111號,(02)29349516,
238,藥局,躍獅新芳藥局,臺北市文山區興隆路3段90號,(02)29308172,
239,藥局,康宜庭生活藥局,臺北市文山區興隆路4段64號,(02)29385363,
240,藥局,杏隆藥局,臺北市文山區羅斯福路5段261號1樓,(02)29313151,
241,藥局,宇康藥局,臺北市文山區羅斯福路5段218巷7號1樓,(02)29307066,
242,藥局,佳醫景美藥局,臺北市文山區羅斯福路6段290號,(02)86636659,
243,藥局,躍獅景新藥局,臺北市文山區羅斯福路6段30號1樓,(02)29356221,
244,藥局,萬隆大藥局,臺北市文山區羅斯福路5段218巷15號,(02)29334580,
245,藥局,躍獅永健藥局,臺北市文山區木柵路1段177號,(02)77285780,
246,藥局,健康人生藥局,臺北市文山區興隆路3段106號,(02)29347813,
247,藥局,景華盛康藥局,臺北市文山區景華街69號,(02)29310188,
248,藥局,逸全生活藥局,臺北市文山區羅斯福路5段222號,(02)29326185,
249,藥局,大愛幸福藥局,臺北市文山區木新路2段221號,(02)29379977,
250,藥局,晴天藥局,臺北市文山區萬壽路15號,(02)29363131,
251,藥局,歆鈺藥局,臺北市文山區興隆路4段209號,(02)29381181,
252,藥局,北一藥師藥局,臺北市文山區木新路3段47號,(02)22348686,
253,藥局,欣安景美藥局,臺北市文山區景文街77號,(02)29350296,
254,藥局,振生大藥局,臺北市北投區中央北路3段61號1樓,(02)28977292,
255,藥局,昌源藥局,臺北市北投區中央北路4段485號,(02)28928695,
256,藥局,天康大藥局,臺北市北投區中央南路1段57號,(02)28930168,
257,藥局,北投春天藥局,臺北市北投區中央南路1段76號,(02)28916668,
258,藥局,康揚藥局,臺北市北投區中和街324號,(02)28946520,
259,藥局,九福藥局,臺北市北投區公館路236號,(02)28953009,
260,藥局,天蓮藥局,臺北市北投區石牌路1段166巷115號,(02)28211824,
261,藥局,石牌藥局,臺北市北投區石牌路1段49號,(02)28214986,
262,藥局,川秀藥局,臺北市北投區石牌路2段99巷9號1樓,(02)28212290,
263,藥局,躍獅光明藥局,臺北市北投區光明路51.53號,(02)28915993,
264,藥局,丸三大藥局,臺北市北投區自強街105號,(02)28230637,
265,藥局,長宜藥局,臺北市北投區自強街112號,(02)28216605,
266,藥局,進春藥局,臺北市北投區明德路151號,(02)28216938,
267,藥局,名山藥局,臺北市北投區東陽街475號1樓,(02)28226101,
268,藥局,新祥藥局,臺北市北投區知行路208號之1,(02)28582551,
269,藥局,萬信藥局,臺北市北投區知行路305號,(02)28583083,
270,藥局,石牌大眾藥局,臺北市北投區致遠1路2段7號,(02)28232565,
271,藥局,祐鄰藥局,臺北市北投區尊賢街250號,(02)28281232,
272,藥局,德昇藥局,臺北市北投區裕民2路20號,(02)28217565,
273,藥局,關渡松藥局,臺北市北投區知行路247號,(02)28584824,
274,藥局,漢藥局,臺北市北投區吉利街146號,(02)28236598,
275,藥局,秝安藥局,臺北市北投區石牌路1段69號1樓,(02)28215399,
276,藥局,昱仁藥局,臺北市北投區光明路102號2樓,(02)28979050,
277,藥局,嘉禾大藥局,臺北市北投區中和街264號1樓,(02)28984758,
278,藥局,理得藥局,臺北市北投區石牌路1段150號,(02)28289680,
279,藥局,陳藥師藥局,臺北市北投區光明路2巷13之2號,(02)28921971,
280,藥局,佳祈健保藥局,臺北市北投區明德路144號,(02)28232535,
281,藥局,立康大藥局,臺北市松山區八德路4段2-1號1樓,(02)27471749,
282,藥局,躍獅松和藥局,臺北市松山區八德路4段666-1號,(02)27492569,
283,藥局,婕登藥局,臺北市松山區八德路4段699號,(02)27482893,
284,藥局,唯康藥局,臺北市松山區八德路3段211號1樓,(02)25775000,
285,藥局,傑安藥局,臺北市松山區八德路2段437巷7弄8號1樓,(02)27524155,
286,藥局,仁弘藥局,臺北市松山區民生東路3段113巷25弄6號1樓,(02)27136764,
287,藥局,惠登藥局,臺北市松山區民生東路3段130巷34號,(02)25472432,
288,藥局,躍獅敦北藥局,臺北市松山區民生東路4段80巷5號1樓,(02)27155691,
289,藥局,益華藥局,臺北市松山區民生東路5段138巷6號,(02)27624898,
290,藥局,家音藥局,臺北市松山區民生東路5段73號1樓,(02)37652080,
291,藥局,健全藥局,臺北市松山區民權東路3段103巷20號,(02)27128293,
292,藥局,榮星藥局,臺北市松山區南京東路4段133巷5弄1號,(02)27124696,
293,藥局,安世藥局,臺北市松山區南京東路4段133巷5弄9號,(02)27133405,
294,藥局,躍獅京華藥局,臺北市松山區南京東路5段71號,(02)27666508,
295,藥局,京東藥局,臺北市松山區南京東路5段272號1樓,(02)27679503,
296,藥局,佑全松山南京東藥局,臺北市松山區南京東路5段291巷7號,(02)27687807,
297,藥局,一安正昇藥局,臺北市松山區南京東路5段348號1樓,(02)27680993,
298,藥局,予志藥局,臺北市松山區富錦街521號1樓,(02)27623522,
299,藥局,德靈藥局,臺北市松山區富錦街548號,(02)27646998,
300,藥局,博荃藥局,臺北市松山區敦化北路4巷51號,(02)27316736,
301,藥局,松田藥局,臺北市松山區延吉街9-6號,(02)25798005,
302,藥局,慶昌藥局,臺北市松山區延吉街29號,(02)25770820,
303,藥局,立赫敦北藥局,臺北市松山區敦化北路222巷20號,(02)27199277,
304,藥局,誠康中西藥局,臺北市松山區南京東路5段59巷31弄43號,(02)27619679,
305,藥局,中美藥局,臺北市松山區富錦街531號,(02)27627468,
306,藥局,立赫民生藥局,臺北市松山區民生東路4段72號,(02)27139200,
307,藥局,綠之家藥局,臺北市松山區延壽街428號,(02)25289595,
308,藥局,玖田藥局,臺北市松山區八德路4段655號,(02)27666578,
309,藥局,合生藥局,臺北市松山區南京東路五段123巷45號,(02)27602932,
310,藥局,永吉藥局,臺北市信義區永吉路213號,(02)87874043,
311,藥局,松山大藥局,臺北市信義區永吉路436號,(02)27620624,
312,藥局,榮泰藥局,臺北市信義區光復南路419巷19號,(02)77296777,
313,藥局,綠杏大藥局,臺北市信義區吳興街241號,(02)27582378,
314,藥局,正和藥局,臺北市信義區吳興街225巷6號,(02)23455186,
315,藥局,吳興藥局,臺北市信義區吳興街279號1樓,(02)27208328,
316,藥局,九州藥局,臺北市信義區和平東路3段239號1樓,(02)87323331,
317,藥局,杏康藥局,臺北市信義區忠孝東路5段372巷27弄68-2號,(02)23457422,
318,藥局,慧生藥局,臺北市信義區松山路310號,(02)27647138,
319,藥局,皇佳大藥局,臺北市信義區松山路541巷19號,(02)27269868,
320,藥局,德康大藥局,臺北市信義區松山路541巷21號,(02)27272502,
321,藥局,富熙仁康藥局,臺北市信義區松仁路260號,(02)27587608,
322,藥局,躍獅松仁藥局,臺北市信義區松仁路233號,(02)27238626,
323,藥局,必欣藥局,臺北市信義區松仁路264號,(02)27225060,
324,藥局,躍獅興雅藥局,臺北市信義區松德路128號,(02)87808429,
325,藥局,松隆藥局,臺北市信義區虎林街65號,(02)27684033,
326,藥局,華泰藥局,臺北市信義區虎林街82巷5號,(02)27601992,
327,藥局,鼎泰藥局,臺北市信義區基隆路1段155號1樓,(02)27620617,
328,藥局,好康藥局,臺北市信義區莊敬路414號,(02)27232979,
329,藥局,洪暘藥局,臺北市信義區富陽街86號,(02)27337099,
330,藥局,麗中藥局,臺北市信義區福德街217號,(02)27594416,
331,藥局,良美藥局,臺北市信義區福德街268巷37號,(02)27593659,
332,藥局,康杏藥局,臺北市信義區福德街306號1樓,(02)27591510,
333,藥局,皇昇大藥局,臺北市信義區松山路210號1樓,(02)27663886,
334,藥局,柏愛藥局,臺北市信義區基隆路2段131-9號,(02)27325472,
335,藥局,立赫北醫藥局,臺北市信義區吳興街118巷26弄17號,(02)29060306,
336,藥局,壹間藥師藥局,臺北市信義區虎林街120巷148號,(02)27672833,
337,藥局,濟生中西藥局,臺北市信義區崇德街41號,(02)27358452,
338,藥局,貴臨藥局,臺北市信義區永吉路326巷19號,(02)27493768,
339,藥局,上禾藥師藥局,臺北市信義區林口街26巷4號,(02)27592686,
340,藥局,祥安藥局(博登中坡店),臺北市南港區中坡南路25號,(02)26547322,
341,藥局,裕成藥局,臺北市南港區玉成街166巷13號,(02)27851227,
342,藥局,上丞藥師藥局,臺北市南港區成福路10號1樓,(02)26535589,
343,藥局,躍獅忠孝藥局,臺北市南港區成福路16號,(02)27862829,
344,藥局,新東發藥局,臺北市南港區成福路198號,(02)27855190,
345,藥局,加欣藥局,臺北市南港區南港路2段26號,(02)27836222,
346,藥局,景星藥局,臺北市南港區南港路3段26號,(02)27838816,
347,藥局,富康活力藥局,臺北市南港區研究院路1段101巷8號,(02)27828810,
348,藥局,湳港藥局,臺北市南港區研究院路1段101巷12號,(02)27892200,
349,藥局,順翔藥局,臺北市南港區研究院路2段170號,(02)27824332,
