seqno,停車場ID,營運id,營運單位,對應停車場,狀態,電話,郵遞區號,地址,說明
25,314,1,臺北市停管處,玉成國小地下停車場,0,02-2782-9226,115,臺北市南港區昆陽街23號地下,停管已委外
26,316,1,臺北市停管處,玉成公園附建地下停車場,1,02-2651-7459,115,臺北市南港區成福路118號地下,無
27,317,1,臺北市停管處,世貿公園地下停車場,1,02-2788-6271,115,臺北市南港區南港區經貿二路88巷1號地下,無
28,319,1,臺北市停管處,洲子立體停車場,1,02-8751-1380,114,臺北市內湖區瑞光路513巷22弄2號,無
29,401,1,臺北市停管處,建成公園地下停車場,0,02-2555-9857,103,臺北市大同區承德路2段31號地下,停管已委外
30,402,1,臺北市停管處,建成國中地下停車場,1,02-2559-6615,103,臺北市大同區長安西路37號之一地下,無
31,403,1,臺北市停管處,永盛公園地下停車場,1,02-2581-5531,104,臺北市中山區中山北路2段93巷30號地下,無
32,405,1,臺北市停管處,林森公園地下停車場,0,02-2521-1965,104,臺北市中山區南京東路1段35號地下,109/8/1起停止服務
33,406,1,臺北市停管處,市民大道中林段地下停車場(場組辦公室),0,02-2395-5514,104,臺北市中山區中山北路-林森北路(地下),110/6/1起停止服務
34,407,1,臺北市停管處,市民大道林金段地下停車場,0,02-2531-4533,104,臺北市中山區林森北路-金山北路(地下),110/6/1起停止服務
35,413,1,臺北市停管處,民有市場地下停車場,1,02-8712-5731,105,臺北市松山區民權東路3段140巷15號地下,無
36,416,1,臺北市停管處,長安國小地下停車場,1,02-2523-9016,104,臺北市中山區松江路90巷14號地下,無
37,501,1,臺北市停管處,民權公園地下停車場,0,02-2765-5004,105,臺北市松山區民權東路4段180號地下,停管已委外
38,503,1,臺北市停管處,民生立體停車場,1,02-2760-8303,105,臺北市松山區民生東路5段84號,無
39,504,1,臺北市停管處,健康國小地下停車場,0,02-2528-3802,105,臺北市松山區延壽街168號地下,停管已委外
40,505,1,臺北市停管處,西松高中地下停車場,1,02-2528-4554,105,臺北市松山區健康路325巷19弄1號地下,無
41,510,1,臺北市停管處,五分埔公園地下停車場,1,02-2760-6275,110,臺北市信義區中坡北路57號地下,無
42,511,1,臺北市停管處,松山高中地下停車場,1,02-2768-5492,110,臺北市信義區基隆路1段156號地下,無
43,513,1,臺北市停管處,松山國小地下停車場,1,02-2747-5478,105,臺北市松山區八德路4段746號,無
44,515,1,臺北市停管處,松山車站地下停車場,1,02-2767-6549,110,臺北市信義區松山路11號(南廣場B1),無
45,516,1,臺北市停管處,市民大道建復段停車場,0,02-2775-1072,104,臺北市中山區建國北路-復興南路(地下),109/9/1起停止服務
46,517,1,臺北市停管處,市民大道復敦段停車場,0,02-2721-1136,105,臺北市松山區復興南路-敦化南路(地下),109/9/1起停止服務
47,518,1,臺北市停管處,市民大道敦延段停車場(場組辦公室),0,02-2577-4364,105,臺北市松山區敦化南路-延吉街(地下),109/8/1起停止服務
48,519,1,臺北市停管處,市民大道延吉段停車場,0,02-2579-3244,105,臺北市松山區延吉街兩側(地下),109/8/1起停止服務
49,704,1,臺北市停管處,附中公園地下停車場,0,02-2701-4453,106,臺北市大安區復興南路1段340巷11號地下,停管已委外
50,705,1,臺北市停管處,大安高工地下停車場,1,02-2702-7924,106,臺北市大安區信義路3段166巷6弄12號地下,無
51,706,1,臺北市停管處,大安森林公園地下停車場,1,02-2709-2940,106,臺北市大安區建國南路2段2號地下,無
52,708,1,臺北市停管處,龍門國中地下停車場,1,02-2732-6469,106,臺北市大安區建國南路2段269號地下,無
53,709,1,臺北市停管處,金華公園地下停車場,1,02-2357-8564,106,臺北市大安區金華街190號地下,無
54,711,1,臺北市停管處,景華公園地下停車場,0,02-2930-2054,116,臺北市文山區景華街55號地下,109.05.01委外
55,714,1,臺北市停管處,景美國小地下停車場,0,02-2930-1538,116,臺北市文山區景文街142巷2號地下,停管已委外
56,715,1,臺北市停管處,興隆公園地下停車場,1,02-2933-5014,116,臺北市文山區仙岩路128號地下,無
57,716,1,臺北市停管處,古亭國中地下停車場,1,02-2339-0684,108,臺北市萬華區中華路2段606巷1號地下,無
58,717,1,臺北市停管處,青年公園高爾夫球場地下停車場,1,02-2337-9616,108,臺北市萬華區國興路5號地下,無
59,718,1,臺北市停管處,青年公園棒球場地下停車場,1,02-2309-2133,108,臺北市萬華區青年路69號地下,無
60,805,1,臺北市停管處,忠信公園地下停車場,1,02-2345-9578,110,臺北市信義區松仁路2號地下,無
61,808,1,臺北市停管處,興雅國中地下停車場,1,02-2758-5499,110,臺北市信義區松德路200巷18號地下,無
62,809,1,臺北市停管處,信義廣場地下停車場,1,02-8780-0133,110,臺北市信義區信義路5段11號地下,無
63,811,1,臺北市停管處,春光公園地下停車場,0,02-2726-8210,110,臺北市信義區忠孝東路5段666號地下,停管已委外
64,813,1,臺北市停管處,萬興國小地下停車場,1,02-8661-6795,116,臺北市文山區秀明路2段116號地下,無
65,816,1,臺北市停管處,信義國小地下停車場,1,02-2758-8124,110,臺北市信義區松勤路60號地下,無
66,818,1,臺北市停管處,松山工農地下停車場,1,02-2345-0672,110,臺北市信義區忠孝東路5段236巷15號地下,無
67,820,1,臺北市停管處,臺北市災害應變中心地下停車場,1,02-2345-3859,110,臺北市信義區莊敬路391巷11弄2號地下,無
68,822,1,臺北市停管處,嘉興公園地下停車場,1,02-8732-1451,106,臺北市大安區嘉興街373號地下2、3、4層,無
69,20000,19,臺北市萬華區公所,萬華區行政中心地下停車場,1,02-23064468,108,臺北市萬華區和平西路三段120號,萬華區行政中心停車場
70,20100,20,臺北自來水發展中心,水岸停車場,1,02-83695139,100,臺北市中正區思源街1號,水岸停車場
71,20200,22,臺北市公共運輸處,松德大樓地下停車場,1,02-2727-4168,110,臺北市信義區松德路300號,松德大樓地下停車場
72,40801,2,歐特儀股份有限公司,振興公園地下停車場,1,02-2705-7716,112,臺北市北投區天母西路112號地下,委外場次
73,40922,2,歐特儀股份有限公司,松壽廣場地下停車場,0,02-2705-7716,110,臺北市信義區松智路75號地下,委外場次
74,40923,2,歐特儀股份有限公司,府前廣場地下停車場,0,02-2705-7716,110,臺北市信義區松壽路1號B1,委外場次
75,40933,2,歐特儀股份有限公司,北投會館,1,02-2705-7716,112,臺北市北投區大業路527巷88號,委外場次
76,41001,2,歐特儀股份有限公司,中山堂地下停車場,0,02-27057717#293,100,臺北市中正區延平南路98號B1F-B2F,委外場次
77,41002,2,歐特儀股份有限公司,捷運南勢角站轉乘停車場,1,02-27057716#203,235,新北市中和區捷運路6號B1層,委外場次
78,41003,2,歐特儀股份有限公司,捷運新店站轉乘停車場,1,02-27057716#203,231,新北市新店區北宜路1段2號B2層,委外場次
79,41004,2,歐特儀股份有限公司,捷運木柵站轉乘停車場,1,02-27057716#203,116,臺北市文山區木柵路4段137號B1層,委外場次
80,50001,3,寶盛國際股份有限公司,嘟嘟房七星公園,1,02-2891-6295,112,臺北市北投區七星街3號地下停車場,委外場次
81,50002,3,寶盛國際股份有限公司,嘟嘟房建國南路停車場,0,02-2655-0818,106,臺北市大安區建國南路高架橋下停車場(忠孝東路-和平東路),委外場次
82,50003,3,寶盛國際股份有限公司,嘟嘟房偶戲博物館站,1,02-26550818,105,臺北市松山區市民大道5段99號B1停車場,委外場次
83,50004,3,寶盛國際股份有限公司,嘟嘟房中崙高中站,1,02-26550818,105,臺北市松山區八德路4段101號B2停車場,委外場次
84,50005,3,寶盛國際股份有限公司,嘟嘟房中山堂站,1,02-26550818,100,臺北市中正區延平南路98號地下停車場,委外場次
85,50006,3,寶盛國際股份有限公司,嘟嘟房建國高架站,1,02-26550818,104,臺北市中山區建國北路高架橋下停車場(八德路-民族東路),委外場次
86,50007,3,寶盛國際股份有限公司,嘟嘟房玉成國小站,1,02-26550818,115,臺北市南港區昆陽街23號B1-B2地下停車場,委外場次
87,50008,3,寶盛國際股份有限公司,府前廣場站,1,02-26550818,110,臺北市信義區松壽路1號B1-B2,委外場次
88,50009,3,寶盛國際股份有限公司,松壽廣場站,1,02-26550818,110,臺北市信義區松智路15號B1-B3,委外場次
89,50010,3,寶盛國際股份有限公司,八德立體站,1,02-26550818,105,臺北市松山區八德路四段580號,委外場次
90,50011,3,寶盛國際股份有限公司,嘟嘟房市民大道-中林站,1,02-26550818,104,臺北市中山區市民大道2段(中山北路至林森北路)地下1、2樓停車場,委外場次
91,50012,3,寶盛國際股份有限公司,嘟嘟房市民大道-林金站,1,02-26550818,104,臺北市中山區市民大道2段(林森北路至金山北路)地下1、2樓停車場,委外場次
92,50013,3,寶盛國際股份有限公司,嘟嘟房吳興站,1,02-26550818,110,臺北市信義區吳興街220巷75號對面,委外場次
93,50014,3,寶盛國際股份有限公司,嘟嘟房新和庭園站,1,02-26550818,108,臺北市萬華區中華路二段416巷46號對面停車場(近南機場夜市),委外場次
94,50015,3,寶盛國際股份有限公司,嘟嘟房建成公園站,1,02-26550818,103,臺北市大同區承德路二段2段31號B1-B2,委外場次
95,50016,3,寶盛國際股份有限公司,嘟嘟房僑安站,1,02-26550818,106,臺北市大安區忠孝東路四段306號B1-B3停車場,委外場次
96,50017,3,寶盛國際股份有限公司,嘟嘟房臺北小巨蛋站,1,02-26550818,105,臺北市松山區南京東路四段2號B1-B2,委外場次
97,50018,3,寶盛國際股份有限公司,嘟嘟房健康國小站,1,02-26550818,105,臺北市松山區延壽街168號B1-B2,委外場次
98,50019,3,寶盛國際股份有限公司,嘟嘟房大安高工站,1,02-26550818,106,臺北市大安區信義路3段166巷6弄12號B1-B2,委外場次
99,50020,3,寶盛國際股份有限公司,嘟嘟房附中公園站,1,02-26550818,106,臺北市大安區復興南路1段340巷11號B1-B2,委外場次
100,50021,3,寶盛國際股份有限公司,嘟嘟房承德公園站,1,02-26550818,111,臺北市士林區基河路150號B1-B2停車場,委外場次
101,50022,3,寶盛國際股份有限公司,嘟嘟房市民大道-公中站,1,02-26550818,104,臺北市中山區市民大道公園路至中山北路地下停車場(鄰近市民大道一段256號),委外場次
102,50023,3,寶盛國際股份有限公司,嘟嘟房市民大道-塔城站,1,02-26550818,103,臺北市大同區西寧北路至塔城街地下停車場(鄰近大同區鄭州路139號),委外場次
103,50024,3,寶盛國際股份有限公司,嘟嘟房塔城公園站,1,02-26550818,103,臺北市大同區塔城街11號地下停車場,委外場次
104,50025,3,寶盛國際股份有限公司,嘟嘟房捷運淡水站,1,02-26550818,251,新北市淡水區中正路1號,委外場次
105,50026,3,寶盛國際股份有限公司,嘟嘟房石潭站,1,02-26550818,114,臺北市內湖區民權東路6段與民權東路6段174巷口,委外場次
106,50027,3,寶盛國際股份有限公司,嘟嘟房內湖康寧站,1,02-26550818,114,臺北市內湖區民權東路6段與民權東路6段296巷口,委外場次
107,50028,3,寶盛國際股份有限公司,嘟嘟房新生公園站,1,02-26550818,104,臺北市中山區民族東路與吉林路口(新生公園溫水游泳池旁),委外場次
108,50029,3,寶盛國際股份有限公司,嘟嘟房民族西站,1,02-26550818,103,臺北市大同區民族西路303巷臨47號後方空地,委外場次
109,50030,3,寶盛國際股份有限公司,嘟嘟房興旺站,1,02-26550818,116,臺北市文山區福興路106巷28弄與福興路106巷交叉口,委外場次
110,50031,3,寶盛國際股份有限公司,嘟嘟房樂活公園站,1,02-26550818,114,臺北市內湖區康樂街85巷34號旁地下停車場,委外場次
111,50032,3,寶盛國際股份有限公司,嘟嘟房信義廣場站,1,02-26550818,110,臺北市信義區信義路五段11號地下停車場,委外場次
112,50033,3,寶盛國際股份有限公司,嘟嘟房建南高架站,1,02-26550818,106,臺北市大安區建國南路高架橋下停車場(忠孝東路-和平東路),委外場次
113,50101,14,中興電工機械股份有限公司,嘟嘟房建國高架北站,0,02-26550818,104,臺北市中山區建國北路高架橋下停車場(八德路-民族東路),委外場次
114,50102,14,中興電工機械股份有限公司,嘟嘟房八德立體站,0,02-26550818,105,臺北市松山區八德路4段580號B1-10F停車場,委外場次
115,50103,14,中興電工機械股份有限公司,嘟嘟房市民大道-中林站,0,02-26550818,104,臺北市中山區市民大道2段(中山北路至林森北路)地下 1、2 樓停車場,委外場次
116,50104,14,中興電工機械股份有限公司,嘟嘟房市民大道-林金站,0,02-26550818,104,臺北市中山區市民大道2段(林森北路至金山北路)地下 1、2 樓停車場,委外場次
117,50105,14,中興電工機械股份有限公司,嘟嘟房偶戲博物館站,0,02-26550818,105,臺北市松山區市民大道5段99號B1停車場,委外場次
118,50106,14,中興電工機械股份有限公司,嘟嘟房中崙高中站,0,02-26550818,105,臺北市松山區八德路4段101號B2停車場,委外場次
119,50107,14,中興電工機械股份有限公司,嘟嘟房僑安站,0,02-26550818,106,臺北市大安區忠孝東路四段306號B1-B3停車場,委外場次
120,50108,14,中興電工機械股份有限公司,嘟嘟房市民大道-公中站,1,02-26550818,104,臺北市中山區市民大道公園路至中山北路地下停車場(鄰近市民大道一段256號),委外場次
121,50109,14,中興電工機械股份有限公司,嘟嘟房市民大道-塔城站,1,02-26550818,103,臺北市大同區西寧北路至塔城街地下停車場(鄰近大同區鄭州路139號),委外場次
122,50110,14,中興電工機械股份有限公司,嘟嘟房承德公園站,1,02-26550818,111,臺北市士林區基河路150號B1-B2停車場,委外場次
123,50111,14,中興電工機械股份有限公司,嘟嘟房中山國中站,1,02-26550818,105,臺北市松山區復興北路361巷7號,委外場次
124,50112,14,中興電工機械股份有限公司,嘟嘟房建南高架站,1,02-26550818,106,臺北市大安區建國南路高架橋下停車場(忠孝東路-和平東路),委外場次
125,50113,14,中興電工機械股份有限公司,嘟嘟房林森公園站,1,02-26550818,104,臺北市中山區南京東路1段35號B1~B3,委外場次
126,50114,14,中興電工機械股份有限公司,捷運芝山站,1,02-26550818,111,臺北市士林區福國路70號,委外場次
127,50115,14,中興電工機械股份有限公司,捷運士林站,1,02-26550818,111,臺北市士林區福德路1號,委外場次
128,50116,14,中興電工機械股份有限公司,捷運民權西路(機車)站,1,02-26550818,103,臺北市大同區民權西路72號,委外場次
129,50117,14,中興電工機械股份有限公司,捷運大橋頭(機車)站,1,02-26550818,103,臺北市大同區民權西路223號B1(捷運大橋頭站轉乘停車場),委外場次
130,50118,14,中興電工機械股份有限公司,捷運文德站,1,02-26550818,114,臺北市內湖區文德路216號,委外場次
131,50119,14,中興電工機械股份有限公司,捷運內湖(機車)站,1,02-26550818,114,臺北市內湖區成功路四段186號B1,委外場次
132,50120,14,中興電工機械股份有限公司,捷運南港展覽館(機車)站,1,02-26550818,115,臺北市南港區研究院路1段1號B1,委外場次
133,50121,14,中興電工機械股份有限公司,捷運內湖機廠站,1,02-26550818,115,臺北市南港區經貿一路1段265號3F,委外場次
134,50122,14,中興電工機械股份有限公司,捷運紅樹林站,1,02-26550818,251,新北市淡水區中正東路2段68號,委外場次
135,50123,14,中興電工機械股份有限公司,捷運忠義站,1,02-26550818,112,臺北市北投區中央北路4段301號,委外場次
136,50124,14,中興電工機械股份有限公司,捷運新北投站,1,02-26550818,112,臺北市北投區大業路700號,委外場次
137,50125,14,中興電工機械股份有限公司,捷運北投站,1,02-26550818,112,臺北市北投區光明路1號,委外場次
138,50126,14,中興電工機械股份有限公司,捷運奇岩(機車)站,1,02-26550818,112,臺北市北投區三合街2段489號,委外場次
139,50127,14,中興電工機械股份有限公司,捷運唭哩岸站,1,02-26550818,112,臺北市北投區東華街2段301號,委外場次
140,50128,14,中興電工機械股份有限公司,捷運石牌站,1,02-26550818,112,臺北市北投區石牌路1段200號,委外場次
141,50129,14,中興電工機械股份有限公司,捷運蘆洲站,1,02-26550818,247,新北市蘆洲區三民路386號B1,委外場次
142,55001,13,千斗開發有限公司,石牌國小地下停車場,1,02-2823-7886,112,臺北市北投區致遠二路８０號地下１-３樓停車場,委外場次
143,55002,13,千斗開發有限公司,社子國小地下停車場,1,02-2816-2810,111,臺北市士林區延平北路六段３０８號地下１-３樓停車場,委外場次
144,55003,13,千斗開發有限公司,進安公園地下停車場,1,02-25421501,104,臺北市中山區八德路2段158號地下室B1-B3,委外場次
145,55004,4,大日開發有限公司,蓬萊國小地下停車場,1,02-2564-1822,103,臺北市大同區寧夏路35號B1、B2,委外場次
146,55005,4,大日開發有限公司,榮星花園地下停車場,1,02-2517-5351,104,臺北市中山區建國北路3段39號地下,委外場次
147,55006,4,大日開發有限公司,濱江國中地下停車場,1,02-8502-1734,104,臺北市中山區樂群2路266巷1號地下,委外場次
148,55007,4,大日開發有限公司,健康國小地下停車場,1,02-2742-1502,105,臺北市松山區延壽街168號地下,委外場次
149,55008,4,大日開發有限公司,民權公園地下停車場,1,02-27676903,105,臺北市松山區民權東路四段180號,委外場次
150,57001,5,易亭停車事業有限公司,新糖廍公園地下停車場,1,02-2308-4476,108,臺北市萬華區大理街2號地下,委外場次
151,58001,6,正好停股份有限公司,林森公園地下停車場,0,02-2799-5656#209,104,臺北市中山區南京東路1段35號地下室,委外場次
152,58002,6,正好停股份有限公司,市民大道敦延段停車場,1,02-2799-5657,105,臺北市松山區市民大道四段（敦化南路至延吉街）地下（地下共2層）,委外場次
153,58003,6,正好停股份有限公司,市民大道延吉段停車場,1,02-2799-5657,105,臺北市松山區市民大道四段（延吉街兩側）地下（地下1層）,委外場次
154,58004,6,正好停股份有限公司,捷運迴龍站轉乘停車場,1,02-2799-5657,242,新北市新莊區中正路758號,委外場次
155,58005,6,正好停股份有限公司,市民大道復敦段停車場,1,02-2799-5657,105,臺北市松山區市民大道四段（復興南路至敦化南路）地下共 2層,委外場次
156,58006,6,正好停股份有限公司,市民大道建復段停車場,1,02-2799-5657,104,臺北市中山區市民大道三段（建國南路至復興南路）地下（地下共 1層）,委外場次
157,58007,6,正好停股份有限公司,北寧路地下停車場,1,02-2799-5657,105,臺北市松山區八德路25號地下一樓(由北寧路進出),委外場次
158,58008,6,正好停股份有限公司,峨嵋立體停車場,1,02-2388-8663,108,臺北市萬華區峨嵋街83號,委外場次
159,58009,6,正好停股份有限公司,捷運永寧站轉乘停車場,1,02-2799-5657,236,新北市土城區中央路3段105號,委外場次
160,58010,6,正好停股份有限公司,捷運頂埔站轉乘停車場,1,02-2799-5657,236,新北市土城區中央路4段51-6號,委外場次
161,58011,6,正好停股份有限公司,捷運海山站轉乘停車場,1,02-2799-5657,236,新北市土城區海山路39號,委外場次
162,58012,6,正好停股份有限公司,艋舺公園地下停車場,1,02-2302-1327,108,臺北市萬華區西園路1段145號,委外場次
163,58013,6,正好停股份有限公司,捷運府中站轉乘停車場,0,02-2799-5657,220,新北市板橋區縣民大道1段193號,委外場次
164,58014,6,正好停股份有限公司,捷運府中2站轉乘停車場,0,02-2799-5657,220,新北市板橋區縣民大道1段193號,委外場次
165,58015,6,正好停股份有限公司,捷運府中3站轉乘停車場,0,02-2799-5657,220,新北市板橋區縣民大道1段193號,委外場次
166,58016,6,正好停股份有限公司,大港墘公園地下停車場,1,02-2799-5657,114,臺北市內湖區洲子街18號B1F,委外場次
167,58017,6,正好停股份有限公司,新和國小地下停車場,1,02-2303-2936,108,臺北市萬華區西藏路125巷31號B1F~B3F,委外場次
168,58018,6,正好停股份有限公司,東湖立體停車場,1,02-2303-2936,114,臺北市內湖區東湖路3號B1F~8F,委外場次
169,58019,6,正好停股份有限公司,成淵高中地下停車場,1,02-2553-0853,103,臺北市大同區承德路2段235號之1地下2層,委外場次
170,58020,6,正好停股份有限公司,大安國中地下停車場,1,02-2708-0213,106,臺北市大安區大安路二段63號地下1至2層,委外場次
171,60001,7,威瀧實業有限公司,景勤二號公園地下停車場,1,02-2944-1489,110,臺北市信義區信安街49號,委外場次
172,60002,7,威瀧實業有限公司,莒光社會住宅地下停車場,1,02-2944-1489,108,臺北市萬華區萬大路22號地下1-4樓,委外場次
173,60003,7,威瀧實業有限公司,春光公園地下停車場,1,02-2944-1489,110,臺北市信義區忠孝東路五段666號地下1-3樓,委外場次
174,60004,7,威瀧實業有限公司,福星社會住宅地下停車場,1,02-2944-1489,108,臺北市萬華區開封街二段37號地下1-4樓,委外場次
175,61001,8,山發物業股份有限公司,朝陽公園地下停車場,0,02-2558-2638,103,臺北市大同區重慶北路二段68號B1,委外場次
176,61002,8,山發物業股份有限公司,永建國小地下停車場,1,02-2234-7883,116,臺北市文山區木柵路一段311巷1號,委外場次
177,61003,8,山發物業股份有限公司,朝陽公園地下停車場,1,02-2558-2638,103,臺北市大同區重慶北路二段68號B1,委外場次
178,61004,8,山發物業股份有限公司,景美女中地下停車場,1,02-6603-9014,116,臺北市文山區木新路3段312號,委外場次
179,61005,8,山發物業股份有限公司,山發興隆社宅D1停車場,1,02-2939-0056,116,臺北市文山區木柵路二段2巷4號,委外場次
180,61006,8,山發物業股份有限公司,山發興隆社宅D2停車場,1,02-2939-0056,116,臺北市文山區興隆路四段105巷45號,委外場次
181,61007,8,山發物業股份有限公司,山發興隆社宅A區停車場,1,02-2939-0056,116,臺北市文山區興隆路四段46巷45號,委外場次
182,62001,9,力揚停車場設備股份有限公司,春光公園地下停車場,0,02-2726-8210,110,臺北市信義區忠孝東路五段666號B1F,委外場次
183,62002,9,力揚停車場設備股份有限公司,興隆公宅地下停車場,0,02-2937-8591,116,臺北市文山區興隆路四段105巷45號B1(停車場),委外場次
184,62003,9,力揚停車場設備股份有限公司,湖興停車場,1,02-2937-8591,114,臺北市內湖區成功路2段322號,委外場次
185,62004,9,力揚停車場設備股份有限公司,大業停車場,1,02-2891-7080,112,臺北市北投區大業路745號,委外場次
186,62005,9,力揚停車場設備股份有限公司,延平國小地下停車場,1,02-25956195,103,臺北市大同區昌吉街97號地下室1層,委外場次
187,62006,9,力揚停車場設備股份有限公司,大稻埕公園地下停車場,1,02-2557-7350,103,臺北市大同區歸綏街243號地下地下2層,委外場次
188,62007,9,力揚停車場設備股份有限公司,小彎社會住宅地下停車場,1,02-2651-3511,115,臺北市南港區重陽里向陽路246-250號地下1-3層,委外場次
189,62008,9,力揚停車場設備股份有限公司,信義廣慈社宅1區,1,02-2651-3511,110,臺北市信義區大道路108、110號地下1至4層,委外場次
190,62009,9,力揚停車場設備股份有限公司,信義廣慈社宅2區,1,02-2651-3511,110,臺北市信義區福德街84巷50、56號地下1至4層,委外場次
191,62010,9,力揚停車場設備股份有限公司,力揚杭州南路停車場,1,02-2455-1299,106,臺北市大安區杭州南路二段51巷,委外場次
192,63001,10,國雲公寓大廈管理維護股份有限公司,景華公園地下停車場,0,02-2932-5365,116,臺北市文山區景華街55賀B1~B2樓,委外場次
193,64001,11,安庭公寓大廈管理維護股份有限公司,康樂合署大樓地下停車場,1,02-2633-7997,114,臺北市內湖區康樂街150號地下室,委外場次
194,64002,11,安庭公寓大廈管理維護股份有限公司,康樂立體停車場,0,02-26335786,114,臺北市內湖區康樂街138號,委外場次
195,64003,11,安庭公寓大廈管理維護股份有限公司,社園立體停車場,0,02-28164583,111,臺北市士林區延平北路六段180號,委外場次
196,65001,12,辰淵企業股份有限公司,西康地下停車場,1,02-26588208,114,臺北市內湖區內湖路1段203巷25號地下室,委外場次
197,65002,12,辰淵企業股份有限公司,花木批發市場地下停車場,1,02-86631858,116,臺北市文山區興隆段1段15號地下室,委外場次
198,65003,12,辰淵企業股份有限公司,大湖公園地下停車場,1,02-27900078,114,臺北市內湖區成功路5段7號地下室,委外場次
199,65004,12,辰淵企業股份有限公司,西湖公園地下停車場,1,02-26587429,114,臺北市內湖區內湖路1段387巷38號地下室,委外場次
200,65005,12,辰淵企業股份有限公司,麗湖國小地下停車場,1,02-26305398,114,臺北市內湖區金湖路363巷8號地下室,委外場次
201,65006,12,辰淵企業股份有限公司,辛亥國小地下停車場,1,02-29300568,116,臺北市文山區辛亥路四段103號地下室,委外場次
202,65007,12,辰淵企業股份有限公司,三張里地下停車場,1,02-27233628,110,臺北市信義區松平路81號地下室,委外場次
203,65008,12,辰淵企業股份有限公司,萬板地下停車場,1,02-23032268,108,臺北市萬華區艋舺大道462號地下1層至地下2層,委外場次
204,65009,12,辰淵企業股份有限公司,雅祥公園地下停車場,1,02-23032268,110,臺北市信義區松隆路123巷7號地下B1-B3,委外場次
205,65010,12,辰淵企業股份有限公司,新糖廍公園地下停車場,1,02-89193669,108,臺北市萬華區大理街160巷2號B1,委外場次
206,65011,12,辰淵企業股份有限公司,景華公園地下停車場,1,02-89193669,108,臺北市萬華區大理街160巷2號B1,委外場次
207,66001,13,好停企業有限公司,民生社區中心地下停車場,1,02-27622332,105,臺北市松山區民生東路五段163之1號B1,委外場次
208,66003,13,好停企業有限公司,萬華車站地下停車場,1,02-2302-0127,108,臺北市萬華區康定路382號B1、B2,委外場次
209,66004,13,好停企業有限公司,附中公園地下停車場,1,0936-117-118,106,臺北市大安區復興南路1段340巷11號地下1~2層,委外場次
210,66005,13,好停企業有限公司,景美國小地下停車場,1,02-2930-2327,116,臺北市文山區景文街142巷2號地下1~3層,委外場次
211,68001,16,日月亭股份有限公司,動物園河川高灘地堤外停車場,1,0920-057-158,116,臺北市文山區新光路2段2號堤外停車場,委外場次
